p,q,r,s,l,d,p00,p01,p10,p11
1.0,1.0,1.0,1.0,1.0,0.0109749876549305,0.3309382570750716,0.1690617429249283,0.1690617429249283,0.3309382570750716
1.0,1.0,1.0,1.0,1.0,0.0120450354025878,0.3307093357066086,0.1692906642933913,0.1692906642933914,0.3307093357066086
1.0,1.0,1.0,1.0,1.0,0.0132194114846602,0.3304590143457995,0.1695409856542005,0.1695409856542005,0.3304590143457994
1.0,1.0,1.0,1.0,1.0,0.0145082877849593,0.3301853882042274,0.1698146117957726,0.1698146117957726,0.3301853882042273
1.0,1.0,1.0,1.0,1.0,0.0159228279334109,0.3298864019513968,0.1701135980486031,0.1701135980486031,0.3298864019513968
1.0,1.0,1.0,1.0,1.0,0.0174752840000768,0.3295598416211103,0.1704401583788897,0.1704401583788897,0.3295598416211102
1.0,1.0,1.0,1.0,1.0,0.0191791026167248,0.3292033268918646,0.1707966731081354,0.1707966731081354,0.3292033268918645
1.0,1.0,1.0,1.0,1.0,0.0210490414451202,0.328814303961967,0.1711856960380329,0.1711856960380328,0.3288143039619671
1.0,1.0,1.0,1.0,1.0,0.0231012970008316,0.3283900392842437,0.1716099607157561,0.1716099607157562,0.3283900392842438
1.0,1.0,1.0,1.0,1.0,0.0253536449397011,0.327927614474389,0.1720723855256109,0.1720723855256109,0.327927614474389
1.0,1.0,1.0,1.0,1.0,0.0278255940220712,0.3274239227609246,0.1725760772390753,0.1725760772390753,0.3274239227609246
1.0,1.0,1.0,1.0,1.0,0.0305385550883341,0.3268756674027533,0.1731243325972468,0.1731243325972468,0.326875667402753
1.0,1.0,1.0,1.0,1.0,0.0335160265093884,0.3262793625613423,0.1737206374386576,0.1737206374386576,0.3262793625613423
1.0,1.0,1.0,1.0,1.0,0.0367837977182863,0.3256313371770054,0.1743686628229946,0.1743686628229946,0.3256313371770054
1.0,1.0,1.0,1.0,1.0,0.0403701725859655,0.3249277424601792,0.1750722575398207,0.1750722575398207,0.3249277424601792
1.0,1.0,1.0,1.0,1.0,0.0443062145758388,0.3241645636658431,0.175835436334157,0.175835436334157,0.3241645636658428
1.0,1.0,1.0,1.0,1.0,0.0486260158006535,0.3233376368680639,0.1766623631319361,0.1766623631319361,0.3233376368680638
1.0,1.0,1.0,1.0,1.0,0.0533669923120631,0.3224426714868239,0.1775573285131763,0.1775573285131763,0.3224426714868235
1.0,1.0,1.0,1.0,1.0,0.0585702081805666,0.3214752793343267,0.1785247206656732,0.1785247206656732,0.3214752793343267
1.0,1.0,1.0,1.0,1.0,0.0642807311728432,0.3204310109353214,0.1795689890646784,0.1795689890646785,0.3204310109353214
1.0,1.0,1.0,1.0,1.0,0.0705480231071864,0.3193053998269892,0.1806946001730108,0.1806946001730108,0.3193053998269891
1.0,1.0,1.0,1.0,1.0,0.0774263682681127,0.3180940154492738,0.1819059845507261,0.1819059845507261,0.3180940154492739
1.0,1.0,1.0,1.0,1.0,0.0849753435908644,0.3167925250865437,0.1832074749134562,0.1832074749134562,0.3167925250865437
1.0,1.0,1.0,1.0,1.0,0.093260334688322,0.3153967651069589,0.184603234893041,0.184603234893041,0.3153967651069588
1.0,1.0,1.0,1.0,1.0,0.1023531021899026,0.3139028214591263,0.1860971785408735,0.1860971785408736,0.3139028214591264
1.0,1.0,1.0,1.0,1.0,0.1123324032978027,0.3123071190214473,0.1876928809785526,0.1876928809785526,0.3123071190214473
1.0,1.0,1.0,1.0,1.0,0.1232846739442066,0.3106065189571141,0.1893934810428857,0.1893934810428859,0.3106065189571141
1.0,1.0,1.0,1.0,1.0,0.1353047774579807,0.308798422711964,0.1912015772880359,0.191201577288036,0.3087984227119639
1.0,1.0,1.0,1.0,1.0,0.1484968262254465,0.3068808807158576,0.1931191192841423,0.1931191192841423,0.3068808807158577
1.0,1.0,1.0,1.0,1.0,0.1629750834620644,0.3048527032324479,0.1951472967675521,0.1951472967675521,0.3048527032324479
1.0,1.0,1.0,1.0,1.0,0.1788649529057435,0.302713570178682,0.1972864298213179,0.1972864298213179,0.3027135701786821
