p,q,r,s,l,p00,p01,p10,p11
1.0,1.0,1.0,1.0,0.0109749876549305,0.4258931447139601,0.2854868204778251,0.2854868204778251,0.0031332143303895
1.0,1.0,1.0,1.0,0.0120450354025878,0.4256330269178011,0.2854642729044456,0.2854642729044453,0.003438427273308
1.0,1.0,1.0,1.0,0.0132194114846602,0.4253477544728723,0.2854394519787325,0.2854394519787324,0.0037733415696627
1.0,1.0,1.0,1.0,0.0145082877849593,0.4250349169498734,0.2854121209311708,0.2854121209311707,0.004140841187785
1.0,1.0,1.0,1.0,0.0159228279334109,0.4246918774814115,0.2853820168842257,0.2853820168842253,0.0045440887501372
1.0,1.0,1.0,1.0,0.0174752840000768,0.4243157524261122,0.2853488477105257,0.2853488477105257,0.0049865521528361
1.0,1.0,1.0,1.0,0.0191791026167248,0.423903389402148,0.2853122884697391,0.2853122884697391,0.0054720336583737
1.0,1.0,1.0,1.0,0.0210490414451202,0.423451343601887,0.2852719773617472,0.2852719773617471,0.0060047016746188
1.0,1.0,1.0,1.0,0.0231012970008316,0.4229558523047839,0.2852275111239667,0.2852275111239665,0.0065891254472827
1.0,1.0,1.0,1.0,0.0253536449397011,0.4224128075142803,0.2851784397894203,0.2851784397894203,0.0072303129068788
1.0,1.0,1.0,1.0,0.0278255940220712,0.4218177266572046,0.2851242607092286,0.2851242607092286,0.0079337519243381
1.0,1.0,1.0,1.0,0.0305385550883341,0.4211657213019333,0.2850644117283881,0.2850644117283877,0.0087054552412909
1.0,1.0,1.0,1.0,0.0335160265093884,0.4204514638756088,0.2849982633867949,0.2849982633867948,0.0095520093508014
1.0,1.0,1.0,1.0,0.0367837977182863,0.4196691523923536,0.2849251099983041,0.2849251099983041,0.0104806276110381
1.0,1.0,1.0,1.0,0.0403701725859655,0.4188124732454127,0.2848441594389659,0.2848441594389658,0.0114992078766553
1.0,1.0,1.0,1.0,0.0443062145758388,0.4178745621684245,0.2847545214513557,0.2847545214513557,0.012616394928864
1.0,1.0,1.0,1.0,0.0486260158006535,0.4168479635368406,0.2846551942450312,0.2846551942450311,0.013841647973097
1.0,1.0,1.0,1.0,0.0533669923120631,0.4157245882626071,0.2845450491436539,0.2845450491436539,0.0151853134500849
1.0,1.0,1.0,1.0,0.0585702081805666,0.4144956706365797,0.2844228129974293,0.2844228129974293,0.0166587033685618
1.0,1.0,1.0,1.0,0.0642807311728432,0.4131517245972988,0.2842870480456779,0.2842870480456779,0.0182741793113453
1.0,1.0,1.0,1.0,0.0705480231071864,0.4116825000556018,0.2841361288793168,0.2841361288793168,0.0200452421857645
1.0,1.0,1.0,1.0,0.0774263682681127,0.4100769400863497,0.2839682161180284,0.2839682161180283,0.0219866276775934
1.0,1.0,1.0,1.0,0.0849753435908644,0.408323140016043,0.2837812263836833,0.2837812263836832,0.0241144072165903
1.0,1.0,1.0,1.0,0.093260334688322,0.4064083096930747,0.283572798122747,0.2835727981227469,0.0264460940614313
1.0,1.0,1.0,1.0,0.1023531021899026,0.4043187405307666,0.2833402528094571,0.283340252809457,0.0290007538503192
1.0,1.0,1.0,1.0,0.1123324032978027,0.4020397792667501,0.2830805510532841,0.2830805510532841,0.0317991186266817
1.0,1.0,1.0,1.0,0.1232846739442066,0.3995558107894921,0.2827902431448934,0.2827902431448933,0.0348637029207211
1.0,1.0,1.0,1.0,0.1353047774579807,0.3968502528462399,0.2824654136126612,0.2824654136126612,0.0382189199284375
1.0,1.0,1.0,1.0,0.1484968262254465,0.3939055659663594,0.2821016194370871,0.2821016194370871,0.0418911951594661
1.0,1.0,1.0,1.0,0.1629750834620644,0.3907032825063276,0.2816938216960087,0.2816938216960087,0.0459090741016548
1.0,1.0,1.0,1.0,0.1788649529057435,0.3872240593385298,0.2812363106048723,0.2812363106048722,0.0503033194517255
1.0,1.0,1.0,1.0,0.1963040650040271,0.3834477593491234,0.2807226241917219,0.2807226241917218,0.0551069922674328
1.0,1.0,1.0,1.0,0.2154434690031884,0.3793535675540285,0.2801454612268774,0.2801454612268773,0.0603555099922166
1.0,1.0,1.0,1.0,0.2364489412645408,0.3749201482469406,0.2794965895352051,0.279496589535205,0.0660866726826492
1.0,1.0,1.0,1.0,0.2595024211399737,0.370125850102618,0.2787667514777857,0.2787667514777856,0.0723406469418107
1.0,1.0,1.0,1.0,0.2848035868435802,0.3649489664956779,0.2779455692213942,0.2779455692213941,0.0791598950615336
1.0,1.0,1.0,1.0,0.3125715849688237,0.359368058358764,0.2770214534352987,0.2770214534352987,0.0865890347706384
