p,q,r,s,l,d,p00,p01,p10,p11
1.0,1.0,1.0,1.0,5.09413801481638,1.0,0.0569498889913184,0.0569498889913182,0.0569498889913182,0.8291503330260451
1.0,1.0,1.0,1.0,5.590810182512229,1.0,0.0482682194291211,0.0482682194291208,0.0482682194291209,0.8551953417126371
1.0,1.0,1.0,1.0,6.135907273413176,1.0,0.0406699030711338,0.0406699030711338,0.0406699030711338,0.8779902907865986
1.0,1.0,1.0,1.0,6.7341506577508286,1.0,0.0340974095602925,0.0340974095602927,0.0340974095602926,0.897707771319122
1.0,1.0,1.0,1.0,7.390722033525782,1.0,0.0284690358615631,0.0284690358615631,0.028469035861563,0.9145928924153108
1.0,1.0,1.0,1.0,8.111308307896872,1.0,0.0236897138892923,0.0236897138892923,0.0236897138892924,0.928930858332123
1.0,1.0,1.0,1.0,8.902150854450392,1.0,0.0196597010321526,0.0196597010321526,0.0196597010321527,0.941020896903542
1.0,1.0,1.0,1.0,9.770099572992256,1.0,0.0162809320667643,0.0162809320667644,0.0162809320667645,0.9511572037997066
1.0,1.0,1.0,1.0,10.722672220103243,1.0,0.0134612149265224,0.0134612149265222,0.0134612149265225,0.9596163552204328
1.0,1.0,1.0,1.0,11.768119524349991,1.0,0.0111166550449413,0.0111166550449412,0.0111166550449413,0.966650034865176
1.0,1.0,1.0,1.0,12.91549665014884,1.0,0.0091727481213474,0.0091727481213475,0.0091727481213474,0.9724817556359576
1.0,1.0,1.0,1.0,14.174741629268064,1.0,0.0075645488055941,0.007564548805594,0.0075645488055941,0.9773063535832176
1.0,1.0,1.0,1.0,15.556761439304722,1.0,0.0062362503208327,0.0062362503208327,0.0062362503208327,0.9812912490375018
1.0,1.0,1.0,1.0,17.07352647470692,1.0,0.00514042821789,0.0051404282178901,0.0051404282178901,0.9845787153463296
1.0,1.0,1.0,1.0,18.73817422860385,1.0,0.0042371268546233,0.0042371268546232,0.0042371268546233,0.98728861943613
1.0,1.0,1.0,1.0,20.565123083486537,1.0,0.0034929065946981,0.0034929065946984,0.0034929065946983,0.989521280215905
1.0,1.0,1.0,1.0,22.570197196339212,1.0,0.0028799241761425,0.0028799241761426,0.0028799241761425,0.9913602274715722
1.0,1.0,1.0,1.0,24.770763559917118,1.0,0.0023750864819295,0.0023750864819294,0.0023750864819295,0.9928747405542114
1.0,1.0,1.0,1.0,27.185882427329428,1.0,0.0019592963472423,0.0019592963472422,0.0019592963472422,0.9941221109582732
1.0,1.0,1.0,1.0,29.836472402833405,1.0,0.0016167953354203,0.0016167953354203,0.0016167953354204,0.9951496139937388
1.0,1.0,1.0,1.0,32.74549162877732,1.0,0.0013346002784384,0.0013346002784385,0.0013346002784386,0.9959961991646844
1.0,1.0,1.0,1.0,35.938136638046295,1.0,0.0011020259926995,0.0011020259926996,0.0011020259926998,0.9966939220219008
1.0,1.0,1.0,1.0,39.4420605943766,1.0,0.0009102846149803,0.0009102846149803,0.0009102846149803,0.9972691461550592
1.0,1.0,1.0,1.0,43.287612810830616,1.0,0.000752151523261,0.0007521515232611,0.0007521515232613,0.9977435454302164
1.0,1.0,1.0,1.0,47.50810162102798,1.0,0.0006216881834338,0.0006216881834337,0.0006216881834337,0.9981349354496986
1.0,1.0,1.0,1.0,52.140082879996896,1.0,0.0005140130861187,0.0005140130861188,0.0005140130861187,0.9984579607416436
1.0,1.0,1.0,1.0,57.223676593502205,1.0,0.0004251129516782,0.0004251129516783,0.0004251129516781,0.9987246611449652
1.0,1.0,1.0,1.0,62.8029144183426,1.0,0.0003516874326704,0.0003516874326702,0.0003516874326702,0.998944937701989
1.0,1.0,1.0,1.0,68.92612104349702,1.0,0.0002910215455479,0.0002910215455479,0.0002910215455477,0.9991269353633564
1.0,1.0,1.0,1.0,75.64633275546291,1.0,0.0002408809740608,0.0002408809740609,0.000240880974061,0.9992773570778172
1.0,1.0,1.0,1.0,83.02175681319753,1.0,0.0001994261884176,0.0001994261884175,0.0001994261884176,0.999401721434747
1.0,1.0,1.0,1.0,91.11627561154896,1.0,0.0001651420148669,0.0001651420148668,0.0001651420148668,0.9995045739553994
1.0,1.0,1.0,1.0,100.0,1.0,0.0001367798763603,0.0001367798763602,0.0001367798763603,0.9995896603709192
