p,q,r,s,l,d,p00,p01,p10,p11
0.01,1.0,1.0,1.0,0.0120226443461741,1.0,0.185780292856596,0.2959789176455144,0.2959789176455145,0.222261871852375
0.01,1.0,1.0,1.0,0.013182567385564,1.0,0.1781400681414901,0.2940868067250733,0.2940868067250732,0.2336863184083633
0.01,1.0,1.0,1.0,0.0144543977074592,1.0,0.1704536625682368,0.2921829990457263,0.2921829990457263,0.2451803393403105
0.01,1.0,1.0,1.0,0.0158489319246111,1.0,0.1627534202320172,0.2902754369350855,0.2902754369350855,0.2566957058978115
0.01,1.0,1.0,1.0,0.0173780082874937,1.0,0.1550719148720172,0.2883721054350143,0.2883721054350142,0.2681838742579543
0.01,1.0,1.0,1.0,0.0190546071796324,1.0,0.1474413998435404,0.2864808931793331,0.286480893179333,0.2795968137977934
0.01,1.0,1.0,1.0,0.0208929613085403,1.0,0.1398932694534648,0.2846094554769031,0.2846094554769031,0.290887819592729
0.01,1.0,1.0,1.0,0.0229086765276777,1.0,0.1324575505838057,0.282765084161643,0.2827650841616429,0.3020122810929085
0.01,1.0,1.0,1.0,0.0251188643150957,1.0,0.1251624417073382,0.2809545882954961,0.2809545882954961,0.3129283817016695
0.01,1.0,1.0,1.0,0.0275422870333816,1.0,0.1180339136145152,0.2791841890912762,0.2791841890912762,0.3235977082029325
0.01,1.0,1.0,1.0,0.0301995172040201,1.0,0.1110953826683194,0.2774594315196769,0.2774594315196768,0.3339857542923267
0.01,1.0,1.0,1.0,0.0331131121482591,1.0,0.1043674634795821,0.2757851140507655,0.2757851140507654,0.3440623084188869
0.01,1.0,1.0,1.0,0.0363078054770101,1.0,0.0978678038618017,0.2741652369309712,0.2741652369309711,0.3538017222762559
0.01,1.0,1.0,1.0,0.0398107170553497,1.0,0.0916110010758179,0.2726029683832386,0.2726029683832385,0.3631830621577047
0.01,1.0,1.0,1.0,0.0436515832240166,1.0,0.0856085949590437,0.271100627200333,0.271100627200333,0.3721901506402903
0.01,1.0,1.0,1.0,2.0892961308540388,1.0,0.0011461224650184,0.1202742129824984,0.1202742129824984,0.7583054515699847
0.01,1.0,1.0,1.0,2.2908676527677723,1.0,0.0009460508631983,0.1087660864496591,0.1087660864496591,0.7815217762374834
0.02,1.0,1.0,1.0,0.0229086765276777,1.0,0.1905240426824387,0.2966736478181931,0.2966736478181931,0.216128661681175
0.02,1.0,1.0,1.0,0.0251188643150957,1.0,0.1828953827853587,0.2948004855311206,0.2948004855311206,0.2275036461524
0.02,1.0,1.0,1.0,0.0275422870333816,1.0,0.1752027095714192,0.2929106856163115,0.2929106856163115,0.2389759191959575
0.02,1.0,1.0,1.0,0.0301995172040201,1.0,0.1674780709032203,0.2910118742491764,0.2910118742491764,0.2504981805984266
0.02,1.0,1.0,1.0,0.0331131121482591,1.0,0.1597540380021319,0.2891117548660177,0.2891117548660177,0.2620224522658325
0.02,1.0,1.0,1.0,0.0363078054770101,1.0,0.1520631554891862,0.2872179626061677,0.2872179626061677,0.2735009192984782
0.02,1.0,1.0,1.0,0.0398107170553497,1.0,0.1444373921407601,0.2853379167415547,0.2853379167415547,0.2848867743761305
0.02,1.0,1.0,1.0,0.0436515832240166,1.0,0.1369076118615929,0.2834786754366684,0.2834786754366684,0.2961350372650703
0.02,1.0,1.0,1.0,0.0478630092322638,1.0,0.1295030831512145,0.2816467967950942,0.2816467967950942,0.3072033232585969
0.02,1.0,1.0,1.0,0.0524807460249772,1.0,0.1222510430452602,0.2798482094840903,0.2798482094840903,0.3180525379865591
0.02,1.0,1.0,1.0,0.0575439937337156,1.0,0.1151763283566993,0.2780880953341151,0.2780880953341151,0.3286474809750704
0.02,1.0,1.0,1.0,0.0630957344480193,1.0,0.1083010832978437,0.2763707852501809,0.2763707852501809,0.3389573462017943
0.02,1.0,1.0,1.0,0.0691830970918936,1.0,0.1016445485410448,0.2746996686192722,0.2746996686192722,0.3489561142204108
0.02,1.0,1.0,1.0,0.0758577575029183,1.0,0.0952229327832278,0.273077115225641,0.273077115225641,0.35862283676549
0.02,1.0,1.0,1.0,0.083176377110267,1.0,0.0890493641939383,0.2715044075589621,0.2715044075589621,0.3679418206881373
0.02,1.0,1.0,1.0,0.0912010839355909,1.0,0.0831339159694555,0.2699816803713592,0.2699816803713592,0.376902723287826
0.02,1.0,1.0,1.0,1.9054607179632483,1.0,0.0027556942193462,0.1327003676845669,0.1327003676845669,0.73184357041152
0.02,1.0,1.0,1.0,2.0892961308540388,1.0,0.0022957554828695,0.1209985957193319,0.1209985957193319,0.7557070530784666
0.02,1.0,1.0,1.0,2.2908676527677723,1.0,0.0018961336511892,0.109396945368354,0.109396945368354,0.7793099756121027
0.03,1.0,1.0,1.0,0.0331131121482591,1.0,0.1943273290971483,0.2971169521788905,0.2971169521788905,0.2114387665450705
0.03,1.0,1.0,1.0,0.0363078054770101,1.0,0.1867072501458693,0.2952605177043653,0.2952605177043653,0.2227717144453999
0.03,1.0,1.0,1.0,0.0398107170553497,1.0,0.179009207516138,0.2933832079096165,0.2933832079096164,0.234224376664629
0.03,1.0,1.0,1.0,0.0436515832240166,1.0,0.1712648950878199,0.2914922418152323,0.2914922418152323,0.2457506212817154
