p,q,r,s,l,d,p00,p01,p10,p11
0.01,1.0,1.0,1.0,3.630780547701014,1.0,0.0508718423162719,0.0652565478289125,0.0652565478289125,0.818615062025903
0.01,1.0,1.0,1.0,3.981071705534973,1.0,0.0449034137288308,0.0565296754071005,0.0565296754071006,0.8420372354569678
0.01,1.0,1.0,1.0,4.365158322401661,1.0,0.0393307632093073,0.0486576133695272,0.0486576133695272,0.8633540100516381
0.01,1.0,1.0,1.0,4.786300923226385,1.0,0.0342090758576673,0.0416410570635716,0.0416410570635716,0.8825088100151894
0.01,1.0,1.0,1.0,5.248074602497728,1.0,0.0295677568350314,0.0354545099879691,0.0354545099879692,0.8995232231890301
0.01,1.0,1.0,1.0,5.754399373371572,1.0,0.0254139111299759,0.0300523549595901,0.03005235495959,0.914481378950844
0.01,1.0,1.0,1.0,6.309573444801936,1.0,0.0217368075588557,0.0253751665268886,0.0253751665268886,0.9275128593873668
0.01,1.0,1.0,1.0,6.918309709189363,1.0,0.018512575599134,0.0213555220601988,0.0213555220601989,0.938776380280468
0.01,1.0,1.0,1.0,7.585775750291836,1.0,0.0157085895823161,0.017922869707268,0.017922869707268,0.948445671003148
0.01,1.0,1.0,1.0,8.317637711026709,1.0,0.0132872169999844,0.0150072781631824,0.0150072781631824,0.9566982266736508
0.01,1.0,1.0,1.0,9.120108393559097,1.0,0.011208796946646,0.0125420878241638,0.0125420878241638,0.9637070274050262
0.01,1.0,1.0,1.0,10.0,1.0,0.0094338501852529,0.0104655995656528,0.0104655995656528,0.9696349506834414
0.01,1.0,1.0,1.0,10.964781961431852,1.0,0.0079246036212498,0.0087219891443641,0.0087219891443641,0.974631418090022
0.01,1.0,1.0,1.0,12.02264434617413,1.0,0.0066459495469505,0.007261641886946,0.007261641886946,0.9788307666791576
0.01,1.0,1.0,1.0,13.182567385564074,1.0,0.0055659675044107,0.0060410827802647,0.0060410827802647,0.9823518669350596
0.01,1.0,1.0,1.0,14.45439770745928,1.0,0.0046561264058765,0.0050226458025115,0.0050226458025115,0.9852985819891004
0.01,1.0,1.0,1.0,15.848931924611142,1.0,0.0038912659934034,0.0041739927905733,0.0041739927905733,0.98776074842545
0.01,1.0,1.0,1.0,17.378008287493763,1.0,0.0032494359370377,0.003467561574804,0.003467561574804,0.989815440913354
0.01,1.0,1.0,1.0,19.054607179632484,1.0,0.0027116513471074,0.0028799978041936,0.0028799978041936,0.9915283530445052
0.01,1.0,1.0,1.0,20.892961308540407,1.0,0.0022616068349342,0.0023916052884863,0.0023916052884863,0.9929551825880932
0.01,1.0,1.0,1.0,22.908676527677724,1.0,0.0018853779638153,0.0019858352962573,0.0019858352962573,0.9941429514436698
0.01,1.0,1.0,1.0,25.118864315095795,1.0,0.0015711288202745,0.0016488251719118,0.0016488251719118,0.9951312208359018
0.01,1.0,1.0,1.0,27.542287033381665,1.0,0.001308837048069,0.001368989903344,0.001368989903344,0.9959531831452428
0.01,1.0,1.0,1.0,30.19951720402016,1.0,0.0010900424856409,0.0011366660117027,0.0011366660117027,0.9966366254909536
0.01,1.0,1.0,1.0,33.11311214825911,1.0,0.0009076220192132,0.0009438046264733,0.0009438046264733,0.99720476872784
0.01,1.0,1.0,1.0,36.30780547701014,1.0,0.0007555909698548,0.0007837092968113,0.0007837092968113,0.9976769904365226
0.01,1.0,1.0,1.0,39.81071705534973,1.0,0.0006289299216009,0.00065081356249,0.00065081356249,0.998069442953419
0.01,1.0,1.0,1.0,43.65158322401661,1.0,0.0005234350990544,0.0005404932717204,0.0005404932717204,0.9983955783575046
0.01,1.0,1.0,1.0,47.86300923226385,1.0,0.0004355900166029,0.0004489088859458,0.0004489088859458,0.9986665922115054
0.01,1.0,1.0,1.0,52.480746024977286,1.0,0.0003624560031147,0.0003728734179937,0.0003728734179937,0.9988917971608976
0.01,1.0,1.0,1.0,57.54399373371572,1.0,0.0003015792542178,0.0003097421220143,0.0003097421220143,0.9990789365017536
0.01,1.0,1.0,1.0,63.09573444801936,1.0,0.0002509122093311,0.0002573205370238,0.0002573205370238,0.9992344467166212
0.01,1.0,1.0,1.0,69.18309709189363,1.0,0.000208747245865,0.0002137879487019,0.0002137879487019,0.9993636768567312
0.01,1.0,1.0,1.0,75.85775750291836,1.0,0.000173660898115,0.0001776337592943,0.0001776337592943,0.9994710715832964
0.01,1.0,1.0,1.0,83.17637711026708,1.0,0.000144467024382,0.0001476046354786,0.0001476046354786,0.9995603237046607
0.01,1.0,1.0,1.0,91.20108393559096,1.0,0.000120177551511,0.0001226606371461,0.0001226606371461,0.9996345011741968
0.01,1.0,1.0,1.0,100.0,1.0,9.996961527488724e-05,0.0001019388179342,0.0001019388179342,0.9996961527488566
0.02,1.0,1.0,1.0,3.630780547701014,1.0,0.0510819325888862,0.0658633901588209,0.0658633901588209,0.8171912870934718
0.02,1.0,1.0,1.0,3.981071705534973,1.0,0.0450786883727145,0.0570658985161627,0.0570658985161627,0.8407895145949599
0.02,1.0,1.0,1.0,4.365158322401661,1.0,0.0394758247128192,0.0491265583141108,0.0491265583141109,0.862271058658959
0.02,1.0,1.0,1.0,4.786300923226385,1.0,0.0343281952588712,0.0420473885275797,0.0420473885275798,0.8815770276859691
0.02,1.0,1.0,1.0,5.248074602497728,1.0,0.0296648457544069,0.035803730857338,0.0358037308573381,0.8987276925309169
0.02,1.0,1.0,1.0,5.754399373371572,1.0,0.0254924953824884,0.0303503765231833,0.0303503765231834,0.9138067515711448
0.02,1.0,1.0,1.0,6.309573444801936,1.0,0.0218000114355482,0.0256279594240779,0.025627959424078,0.9269440697162958
0.02,1.0,1.0,1.0,6.918309709189363,1.0,0.0185631209407669,0.0215688560494841,0.0215688560494842,0.9382991669602648
0.02,1.0,1.0,1.0,7.585775750291836,1.0,0.0157488096380942,0.0181021376322509,0.018102137632251,0.9480469150974036
0.02,1.0,1.0,1.0,8.317637711026709,1.0,0.0133190824144142,0.0151573918992318,0.0151573918992318,0.956366133787122
0.02,1.0,1.0,1.0,9.120108393559097,1.0,0.0112339500360814,0.0126674308395948,0.0126674308395947,0.963431188284729
0.02,1.0,1.0,1.0,10.0,1.0,0.0094536435908522,0.0105700207403779,0.0105700207403779,0.969406314928392
0.02,1.0,1.0,1.0,10.964781961431852,1.0,0.0079401400062751,0.0088088243356547,0.0088088243356547,0.9744422113224152
0.02,1.0,1.0,1.0,12.02264434617413,1.0,0.0066581198600417,0.0073337523642747,0.0073337523642747,0.9786743754114088
0.02,1.0,1.0,1.0,13.182567385564074,1.0,0.0055754861971427,0.0061009023709612,0.0061009023709612,0.9822227090609348
0.02,1.0,1.0,1.0,14.45439770745928,1.0,0.0046635627324167,0.0050722310121256,0.0050722310121256,0.985191975243332
