p,q,r,s,l,d,p00,p01,p10,p11
0.01,1.0,1.0,0.17,1.0,1.0,0.022609819121447,0.208656330749354,0.208656330749354,0.560077519379845
0.01,1.0,1.0,0.18,1.0,1.0,0.0213996529786003,0.2082128397917872,0.2082128397917871,0.5621746674378253
0.01,1.0,1.0,0.19,1.0,1.0,0.0203125,0.2078125,0.2078124999999999,0.5640625000000001
0.01,1.0,1.0,0.2,1.0,1.0,0.0193305044790193,0.2074493163602074,0.2074493163602074,0.5657708628005659
0.01,1.0,1.0,0.21,1.0,1.0,0.0184391080617495,0.2071183533447685,0.2071183533447684,0.5673241852487134
0.01,1.0,1.0,0.22,1.0,1.0,0.017626321974148,0.2068155111633372,0.2068155111633372,0.5687426556991774
0.01,1.0,1.0,0.23,1.0,1.0,0.0168821839080459,0.2065373563218391,0.2065373563218391,0.5700431034482758
0.01,1.0,1.0,0.24,1.0,1.0,0.016198347107438,0.2062809917355372,0.2062809917355371,0.5712396694214876
0.01,1.0,1.0,0.25,1.0,1.0,0.0155677655677655,0.2060439560439561,0.2060439560439561,0.5723443223443223
0.01,1.0,1.0,0.26,1.0,1.0,0.0149844500989539,0.2058241447554424,0.2058241447554424,0.5733672603901611
0.01,1.0,1.0,0.27,1.0,1.0,0.0144432773109243,0.2056197478991596,0.2056197478991597,0.5743172268907564
0.01,1.0,1.0,0.28,1.0,1.0,0.0139398385913426,0.2054292002934702,0.2054292002934702,0.5752017608217168
0.01,1.0,1.0,0.29,1.0,1.0,0.0134703196347031,0.2052511415525114,0.2052511415525114,0.576027397260274
0.01,1.0,1.0,0.3,1.0,1.0,0.0130314035462507,0.205084383678701,0.205084383678701,0.576799829096347
0.01,1.0,1.0,0.31,1.0,1.0,0.0126201923076922,0.2049278846153845,0.2049278846153845,0.5775240384615384
0.01,1.0,1.0,0.32,1.0,1.0,0.0122341426689252,0.204780726519857,0.204780726519857,0.5782044042913608
0.01,1.0,1.0,0.33,1.0,1.0,0.0118710134656272,0.2046420978029765,0.2046420978029765,0.5788447909284196
0.01,1.0,1.0,0.34,1.0,1.0,0.0115288220551378,0.2045112781954887,0.2045112781954887,0.5794486215538845
0.02,1.0,1.0,0.34,1.0,1.0,0.022609819121447,0.208656330749354,0.208656330749354,0.560077519379845
0.01,1.0,1.0,0.35,1.0,1.0,0.0112058080808081,0.2043876262626262,0.2043876262626262,0.5800189393939394
0.02,1.0,1.0,0.35,1.0,1.0,0.0219880897846999,0.2084287677508016,0.2084287677508016,0.5611543747136968
0.01,1.0,1.0,0.36,1.0,1.0,0.0109004031655965,0.2042705689114529,0.2042705689114529,0.5805584590114977
0.02,1.0,1.0,0.36,1.0,1.0,0.0213996529786003,0.2082128397917872,0.2082128397917871,0.5621746674378253
0.01,1.0,1.0,0.37,1.0,1.0,0.0106112054329371,0.2041595925297113,0.2041595925297113,0.5810696095076401
0.02,1.0,1.0,0.37,1.0,1.0,0.0208419031948443,0.208007678595914,0.2080076785959139,0.5631427396133277
0.01,1.0,1.0,0.38,1.0,1.0,0.010336957980937,0.204054235467848,0.204054235467848,0.581554571083367
0.02,1.0,1.0,0.38,1.0,1.0,0.0203125,0.2078125,0.2078124999999999,0.5640625000000001
0.01,1.0,1.0,0.39,1.0,1.0,0.0100765306122448,0.2039540816326531,0.2039540816326531,0.5820153061224489
