p,q,r,s,l,d,p00,p01,p10,p11
1.0,0.0101010101010101,1.0,1.0,1.0,1.0,0.4414666006035763,0.2229629295977659,0.2229629295977659,0.1126075402008918
1.0,0.0202020202020202,1.0,1.0,1.0,1.0,0.4385185848033021,0.2236887730562297,0.2236887730562297,0.1141038690842385
1.0,0.0303030303030303,1.0,1.0,1.0,1.0,0.4355999999999999,0.2244000000000001,0.2244,0.1156
1.0,0.0404040404040404,1.0,1.0,1.0,1.0,0.4327104557344842,0.2250968532356154,0.2250968532356154,0.1170958377942848
1.0,0.0505050505050505,1.0,1.0,1.0,1.0,0.4298495680014033,0.2257795710714442,0.2257795710714443,0.118591289855708
1.0,0.0606060606060606,1.0,1.0,1.0,1.0,0.4270169591216546,0.2264483874129987,0.2264483874129987,0.1200862660523478
1.0,0.0707070707070707,1.0,1.0,1.0,1.0,0.4242122576177285,0.2271035318559557,0.2271035318559556,0.1215806786703601
1.0,0.0808080808080808,1.0,1.0,1.0,1.0,0.4214350980919106,0.2277452297769417,0.2277452297769416,0.1230744423542058
1.0,0.0909090909090909,1.0,1.0,1.0,1.0,0.4186851211072664,0.2283737024221453,0.2283737024221453,0.1245674740484429
1.0,0.101010101010101,1.0,1.0,1.0,1.0,0.4159619730713323,0.2289891669938142,0.2289891669938142,0.1260596929410391
1.0,0.1111111111111111,1.0,1.0,1.0,1.0,0.4132653061224489,0.2295918367346939,0.2295918367346938,0.1275510204081632
1.0,0.1212121212121212,1.0,1.0,1.0,1.0,0.4105947780186633,0.2301819210104628,0.2301819210104628,0.1290413799604109
1.0,0.1313131313131313,1.0,1.0,1.0,1.0,0.4079500520291363,0.2307596253902185,0.2307596253902185,0.1305306971904266
1.0,0.1414141414141414,1.0,1.0,1.0,1.0,0.4053307968279896,0.2313251517250649,0.2313251517250648,0.1320188997218805
1.0,0.1515151515151515,1.0,1.0,1.0,1.0,0.4027366863905323,0.2318786982248522,0.2318786982248521,0.1335059171597633
1.0,0.1616161616161616,1.0,1.0,1.0,1.0,0.4001673998918026,0.2324204595331176,0.2324204595331176,0.1349916810419621
1.0,0.1717171717171717,1.0,1.0,1.0,1.0,0.3976226216073673,0.2329506268002759,0.2329506268002759,0.1364761247920809
1.0,0.1818181818181818,1.0,1.0,1.0,1.0,0.3951020408163264,0.2334693877551021,0.2334693877551021,0.1379591836734693
1.0,0.1919191919191919,1.0,1.0,1.0,1.0,0.3926053517064571,0.2339769267745554,0.2339769267745554,0.139440794744432
1.0,0.202020202020202,1.0,1.0,1.0,1.0,0.3901322532814535,0.2344734249519849,0.2344734249519849,0.1409208968145767
1.0,0.2121212121212121,1.0,1.0,1.0,1.0,0.3876824492702028,0.2349590601637593,0.2349590601637593,0.1423994304022783
1.0,0.2222222222222222,1.0,1.0,1.0,1.0,0.3852556480380499,0.2354340071343638,0.2354340071343638,0.1438763376932223
1.0,0.2323232323232323,1.0,1.0,1.0,1.0,0.3828515624999999,0.2358984375,0.2358984375,0.1453515625
1.0,0.2424242424242424,1.0,1.0,1.0,1.0,0.3804699100358109,0.2363525198707312,0.236352519870731,0.1468250502227268
1.0,0.2525252525252525,1.0,1.0,1.0,1.0,0.3781104124069288,0.2367964198912078,0.2367964198912078,0.1482967478106554
1.0,0.2626262626262626,1.0,1.0,1.0,1.0,0.3757727956752197,0.2372303003000124,0.2372303003000124,0.1497666037247553
1.0,0.2727272727272727,1.0,1.0,1.0,1.0,0.3734567901234568,0.2376543209876543,0.2376543209876543,0.1512345679012346
1.0,0.2828282828282829,1.0,1.0,1.0,1.0,0.3711621301775148,0.2380686390532544,0.2380686390532544,0.1527005917159763
1.0,0.2929292929292929,1.0,1.0,1.0,1.0,0.3688885543302344,0.2384734088599496,0.2384734088599496,0.1541646279498663
1.0,0.303030303030303,1.0,1.0,1.0,1.0,0.3666358050669134,0.2388687820890497,0.2388687820890497,0.1556266307549869
1.0,0.3131313131313131,1.0,1.0,1.0,1.0,0.3644036287923854,0.2392549077929804,0.2392549077929804,0.1570865556216537
1.0,0.3232323232323232,1.0,1.0,1.0,1.0,0.3621917757596473,0.2396319324470394,0.2396319324470394,0.1585443593462736
1.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.36,0.24,0.24,0.1599999999999999
1.0,0.3434343434343435,1.0,1.0,1.0,1.0,0.3578280592546619,0.2403592519235859,0.2403592519235859,0.1614534368981662
1.0,0.3535353535353536,1.0,1.0,1.0,1.0,0.355675714907824,0.2407098272608507,0.2407098272608505,0.1629046305704747
1.0,0.3636363636363636,1.0,1.0,1.0,1.0,0.3535427319211104,0.2410518626734842,0.2410518626734842,0.164353542731921
1.0,0.3737373737373737,1.0,1.0,1.0,1.0,0.3514288787694073,0.2413854924880777,0.2413854924880777,0.1658001362544372
1.0,0.3838383838383838,1.0,1.0,1.0,1.0,0.3493339273780352,0.2417108487413677,0.2417108487413678,0.1672443751392292
1.0,0.393939393939394,1.0,1.0,1.0,1.0,0.3472576530612243,0.2420280612244898,0.2420280612244898,0.1686862244897959
1.0,0.4040404040404041,1.0,1.0,1.0,1.0,0.3451998344618688,0.2423372575262616,0.2423372575262616,0.1701256504856078
1.0,0.4141414141414142,1.0,1.0,1.0,1.0,0.3431602534925246,0.2426385630755226,0.2426385630755225,0.1715626203564301
1.0,0.4242424242424242,1.0,1.0,1.0,1.0,0.3411386952776254,0.2429321011825515,0.2429321011825515,0.1729971023572715
1.0,0.4343434343434343,1.0,1.0,1.0,1.0,0.3391349480968857,0.2432179930795847,0.2432179930795847,0.1744290657439446
1.0,0.4444444444444445,1.0,1.0,1.0,1.0,0.3371488033298646,0.2434963579604578,0.2434963579604579,0.1758584807492196
1.0,0.4545454545454546,1.0,1.0,1.0,1.0,0.3351800554016621,0.2437673130193905,0.2437673130193905,0.1772853185595568
1.0,0.4646464646464647,1.0,1.0,1.0,1.0,0.3332285017297213,0.2440309734889375,0.2440309734889374,0.1787095512924036
1.0,0.4747474747474748,1.0,1.0,1.0,1.0,0.3312939426717145,0.2442874526771227,0.2442874526771227,0.1801311519740399
1.0,0.4848484848484848,1.0,1.0,1.0,1.0,0.3293761814744803,0.2445368620037806,0.2445368620037806,0.1815500945179584
1.0,0.494949494949495,1.0,1.0,1.0,1.0,0.3274750242239968,0.2447793110361188,0.2447793110361188,0.1829663537037655
1.0,0.5050505050505051,1.0,1.0,1.0,1.0,0.3255902797963605,0.2450149075235241,0.245014907523524,0.1843799051565912
1.0,0.5151515151515152,1.0,1.0,1.0,1.0,0.3237217598097506,0.2452437574316288,0.2452437574316288,0.1857907253269916
1.0,0.5252525252525253,1.0,1.0,1.0,1.0,0.3218692785773516,0.2454659649756569,0.2454659649756569,0.1871987914713343
1.0,0.5353535353535354,1.0,1.0,1.0,1.0,0.3200326530612245,0.2456816326530611,0.2456816326530611,0.1886040816326531
1.0,0.5454545454545455,1.0,1.0,1.0,1.0,0.3182117028270875,0.2458908612754766,0.2458908612754766,0.1900065746219592
1.0,0.5555555555555556,1.0,1.0,1.0,1.0,0.31640625,0.24609375,0.2460937499999999,0.1914062499999999
1.0,0.5656565656565657,1.0,1.0,1.0,1.0,0.314616119220923,0.2462903963598135,0.2462903963598134,0.1928030880594499
1.0,0.5757575757575758,1.0,1.0,1.0,1.0,0.3128411376041367,0.2464808962941684,0.2464808962941684,0.1941970698075265
1.0,0.5858585858585859,1.0,1.0,1.0,1.0,0.311081134695497,0.2466653441777424,0.2466653441777424,0.195588176949018
1.0,0.595959595959596,1.0,1.0,1.0,1.0,0.3093359424315112,0.2468438328493877,0.2468438328493876,0.1969763918697134
1.0,0.6060606060606061,1.0,1.0,1.0,1.0,0.3076053950992162,0.2470164536402796,0.2470164536402795,0.1983616976202245
1.0,0.6161616161616162,1.0,1.0,1.0,1.0,0.3058893292968382,0.2471832964014856,0.2471832964014856,0.1997440779001904
1.0,0.6262626262626263,1.0,1.0,1.0,1.0,0.3041875838952212,0.2473444495309627,0.2473444495309627,0.2011235170428535
1.0,0.6363636363636365,1.0,1.0,1.0,1.0,0.3025000000000002,0.2474999999999999,0.2474999999999999,0.2024999999999999
1.0,0.6464646464646465,1.0,1.0,1.0,1.0,0.300826420914511,0.2476500333791177,0.2476500333791176,0.2038735123272535
1.0,0.6565656565656566,1.0,1.0,1.0,1.0,0.2991666921034157,0.2477946338634352,0.2477946338634352,0.2052440401697139
1.0,0.6666666666666667,1.0,1.0,1.0,1.0,0.2975206611570248,0.2479338842975207,0.2479338842975207,0.2066115702479338
1.0,0.6767676767676768,1.0,1.0,1.0,1.0,0.2958881777563095,0.2480678661997342,0.2480678661997342,0.2079760898442217
1.0,0.686868686868687,1.0,1.0,1.0,1.0,0.2942690936385814,0.248196659786076,0.2481966597860761,0.2093375867892662
1.0,0.696969696969697,1.0,1.0,1.0,1.0,0.292663262563827,0.2483203439935501,0.2483203439935501,0.2106960494490728
1.0,0.7070707070707072,1.0,1.0,1.0,1.0,0.2910705402816859,0.2484389965030552,0.2484389965030552,0.2120514667122036
1.0,0.7171717171717172,1.0,1.0,1.0,1.0,0.2894907844990548,0.2485526937618146,0.2485526937618147,0.2134038279773156
1.0,0.7272727272727273,1.0,1.0,1.0,1.0,0.2879238548483046,0.2486615110053539,0.2486615110053539,0.2147531231409875
1.0,0.7373737373737375,1.0,1.0,1.0,1.0,0.2863696128560995,0.2487655222790357,0.2487655222790357,0.2160993425858291
1.0,0.7474747474747475,1.0,1.0,1.0,1.0,0.284827921912802,0.2488648004591655,0.2488648004591655,0.2174424771688669
1.0,0.7575757575757577,1.0,1.0,1.0,1.0,0.2832986472424558,0.2489594172736732,0.2489594172736732,0.2187825182101977
1.0,0.7676767676767677,1.0,1.0,1.0,1.0,0.2817816558733262,0.2490494433223843,0.2490494433223843,0.2201194574819052
1.0,0.7777777777777778,1.0,1.0,1.0,1.0,0.2802768166089967,0.2491349480968857,0.2491349480968857,0.2214532871972318
1.0,0.787878787878788,1.0,1.0,1.0,1.0,0.2787840000000001,0.249216,0.2492159999999999,0.222784
1.0,0.797979797979798,1.0,1.0,1.0,1.0,0.2773030783159801,0.2492926663648709,0.249292666364871,0.2241115889542779
1.0,0.8080808080808082,1.0,1.0,1.0,1.0,0.2758339255183671,0.2493650134736753,0.2493650134736753,0.2254360475342823
1.0,0.8181818181818182,1.0,1.0,1.0,1.0,0.2743764172335602,0.2494331065759637,0.2494331065759636,0.2267573696145124
1.0,0.8282828282828284,1.0,1.0,1.0,1.0,0.2729304307266031,0.2494970099066422,0.2494970099066422,0.2280755494601123
1.0,0.8383838383838385,1.0,1.0,1.0,1.0,0.2714958448753464,0.249556786703601,0.2495567867036011,0.2293905817174515
1.0,0.8484848484848485,1.0,1.0,1.0,1.0,0.2700725401450804,0.2496124992249984,0.2496124992249984,0.2307024614049227
1.0,0.8585858585858587,1.0,1.0,1.0,1.0,0.2686603985636359,0.249664208766207,0.249664208766207,0.23201118390395
1.0,0.8686868686868687,1.0,1.0,1.0,1.0,0.2672593036969371,0.2497119756764311,0.2497119756764311,0.2333167449502006
1.0,0.8787878787878789,1.0,1.0,1.0,1.0,0.265869140625,0.249755859375,0.2497558593749999,0.234619140625
1.0,0.888888888888889,1.0,1.0,1.0,1.0,0.2644897959183672,0.2497959183673469,0.2497959183673469,0.2359183673469387
1.0,0.8989898989898991,1.0,1.0,1.0,1.0,0.2631211576149695,0.2498322102606781,0.2498322102606781,0.2372144218636743
1.0,0.9090909090909092,1.0,1.0,1.0,1.0,0.261763115197404,0.2498647917793402,0.2498647917793402,0.2385073012439155
1.0,0.9191919191919192,1.0,1.0,1.0,1.0,0.260415559570624,0.2498937187798915,0.2498937187798915,0.2397970028695929
1.0,0.9292929292929294,1.0,1.0,1.0,1.0,0.2590783830400274,0.249919046265885,0.2499190462658851,0.2410835244282023
1.0,0.9393939393939394,1.0,1.0,1.0,1.0,0.2577514792899409,0.2499408284023668,0.2499408284023668,0.2423668639053253
1.0,0.9494949494949496,1.0,1.0,1.0,1.0,0.2564347433624845,0.2499591185300985,0.2499591185300985,0.2436470195773184
1.0,0.9595959595959596,1.0,1.0,1.0,1.0,0.2551280716368181,0.2499739691795084,0.2499739691795086,0.2449239900041649
1.0,0.9696969696969696,1.0,1.0,1.0,1.0,0.2538313618087525,0.2499854320843773,0.2499854320843774,0.2461977740224928
1.0,0.97979797979798,1.0,1.0,1.0,1.0,0.2525445128707259,0.2499935581952639,0.249993558195264,0.2474683707387461
1.0,0.98989898989899,1.0,1.0,1.0,1.0,0.2512674250921327,0.2499983976926773,0.2499983976926774,0.2487357795225124
1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.25,0.25,0.25
