p,q,r,s,l,d,p00,p01,p10,p11
1.0,0.89,1.0,1.0,1.0,100.0,0.2112949224208341,0.2974737453571656,0.2974737453571655,0.1937575868648346
1.0,0.9,1.0,1.0,1.0,83.17637711026708,0.2104701500384923,0.2974802629760028,0.2974802629760028,0.1945693240095022
1.0,0.9,1.0,1.0,1.0,91.20108393559096,0.2103787458747385,0.297563190519686,0.2975631905196862,0.1944948730858892
1.0,0.9,1.0,1.0,1.0,100.0,0.2102952775761821,0.2976389181527657,0.2976389181527659,0.1944268861182862
1.0,0.91,1.0,1.0,1.0,69.18309709189363,0.2096860380883486,0.297453507240611,0.297453507240611,0.1954069474304293
1.0,0.91,1.0,1.0,1.0,75.85775750291836,0.2095774726957802,0.2975529423682484,0.2975529423682485,0.1953166425677227
1.0,0.91,1.0,1.0,1.0,83.17637711026708,0.2094783086842933,0.2976437667636289,0.2976437667636288,0.1952341577884489
1.0,0.91,1.0,1.0,1.0,91.20108393559096,0.2093877439952527,0.2977267150328809,0.2977267150328809,0.1951588259389853
1.0,0.91,1.0,1.0,1.0,100.0,0.2093050429754875,0.2978024609613167,0.2978024609613167,0.1950900351018789
1.0,0.92,1.0,1.0,1.0,63.09573444801936,0.2088193546783241,0.2975064335088937,0.2975064335088936,0.1961677783038886
1.0,0.92,1.0,1.0,1.0,69.18309709189363,0.2087015975927326,0.2976153207803194,0.2976153207803194,0.1960677608466285
1.0,0.92,1.0,1.0,1.0,75.85775750291836,0.2085940233082527,0.2977147922495202,0.2977147922495203,0.1959763921927068
1.0,0.92,1.0,1.0,1.0,83.17637711026708,0.2084957655321121,0.2978056489575184,0.2978056489575182,0.1958929365528511
1.0,0.92,1.0,1.0,1.0,91.20108393559096,0.208406029286876,0.2978886260016824,0.2978886260016824,0.195816718709759
1.0,0.92,1.0,1.0,1.0,100.0,0.2083240854411297,0.2979643975930787,0.2979643975930787,0.1957471193727127
1.0,0.93,1.0,1.0,1.0,57.54399373371572,0.2079707499674829,0.297547347346461,0.297547347346461,0.1969345553395949
1.0,0.93,1.0,1.0,1.0,63.09573444801936,0.2078430359933376,0.2976665801167421,0.2976665801167421,0.1968238037731781
1.0,0.93,1.0,1.0,1.0,69.18309709189363,0.2077263486272082,0.2977755185317711,0.2977755185317709,0.1967226143092497
1.0,0.93,1.0,1.0,1.0,75.85775750291836,0.2076197526617081,0.2978750356938702,0.2978750356938702,0.1966301759505513
1.0,0.93,1.0,1.0,1.0,83.17637711026708,0.2075223893957532,0.2979659332796757,0.2979659332796757,0.1965457440448954
1.0,0.93,1.0,1.0,1.0,91.20108393559096,0.2074334708496021,0.2980489469409287,0.2980489469409286,0.1964686352685406
1.0,0.93,1.0,1.0,1.0,100.0,0.2073522743357886,0.2981247513730117,0.2981247513730116,0.1963982229181879
1.0,0.94,1.0,1.0,1.0,52.480746024977286,0.2071408492329273,0.2975752701666569,0.2975752701666572,0.1977086104337585
1.0,0.94,1.0,1.0,1.0,57.54399373371572,0.2070023525496557,0.2977058237323063,0.2977058237323063,0.1975859999857317
1.0,0.94,1.0,1.0,1.0,63.09573444801936,0.2068757931159866,0.2978251246783053,0.2978251246783056,0.1974739575274024
1.0,0.94,1.0,1.0,1.0,69.18309709189363,0.2067601618807928,0.2979341241842747,0.2979341241842746,0.1973715897506579
1.0,0.94,1.0,1.0,1.0,75.85775750291836,0.2066545317706939,0.2980336961537078,0.2980336961537078,0.1972780759218903
1.0,0.94,1.0,1.0,1.0,83.17637711026708,0.2065580515889387,0.2981246429651772,0.2981246429651772,0.1971926624807067
1.0,0.94,1.0,1.0,1.0,91.20108393559096,0.2064699402719182,0.2982077008864166,0.2982077008864166,0.1971146579552486
1.0,0.94,1.0,1.0,1.0,100.0,0.2063894815001386,0.2982835451542751,0.2982835451542751,0.197043428191311
