p,q,r,s,l,d,p00,p01,p10,p11
1.0,0.48,1.0,1.0,0.0109647819614318,1.0,0.3576438822099845,0.275887680250658,0.275887680250658,0.0905807572886993
1.0,0.48,1.0,1.0,0.0120226443461741,1.0,0.3576142561217607,0.2758499170278931,0.275849917027893,0.0906859098224531
1.0,0.48,1.0,1.0,0.013182567385564,1.0,0.3575817848475592,0.275808532259683,0.2758085322596827,0.0908011506330749
1.0,0.48,1.0,1.0,0.0144543977074592,1.0,0.357546196463171,0.2757631808815339,0.2757631808815338,0.0909274417737612
1.0,0.48,1.0,1.0,0.0158489319246111,1.0,0.3575071933073873,0.275713485392579,0.2757134853925789,0.0910658359074546
1.0,0.48,1.0,1.0,0.0173780082874937,1.0,0.3574644495924064,0.2756590328921116,0.2756590328921113,0.0912174846233707
1.0,0.49,1.0,1.0,0.0109647819614318,1.0,0.3564311381265277,0.2766342640692681,0.276634264069268,0.090300333734936
1.0,0.49,1.0,1.0,0.0120226443461741,1.0,0.3564007227141664,0.2765959018157369,0.2765959018157369,0.0904074736543598
1.0,0.49,1.0,1.0,0.013182567385564,1.0,0.3563673866861183,0.2765538609023455,0.2765538609023453,0.0905248915091907
1.0,0.49,1.0,1.0,0.0144543977074592,1.0,0.3563308509833181,0.276507790888106,0.2765077908881059,0.0906535672404698
1.0,0.49,1.0,1.0,0.0158489319246111,1.0,0.3562908101489787,0.2764573084028934,0.2764573084028934,0.0907945730452343
1.0,0.49,1.0,1.0,0.0173780082874937,1.0,0.3562469298804731,0.276401994141337,0.2764019941413368,0.090949081836853
1.0,0.49,1.0,1.0,0.0190546071796324,1.0,0.3561988443626057,0.2763413895989535,0.2763413895989535,0.0911183764394873
1.0,0.49,1.0,1.0,0.0208929613085403,1.0,0.3561461533640057,0.276274993531463,0.276274993531463,0.0913038595730681
1.0,0.49,1.0,1.0,0.0229086765276777,1.0,0.3560884190769413,0.2762022581173515,0.2762022581173516,0.0915070646883554
1.0,0.49,1.0,1.0,0.0251188643150957,1.0,0.3560251626792982,0.2761225848028992,0.2761225848028993,0.0917296677149032
1.0,0.49,1.0,1.0,0.0275422870333816,1.0,0.3559558605957377,0.276035319808107,0.2760353198081069,0.0919734997880481
1.0,0.5,1.0,1.0,0.0109647819614318,1.0,0.3552313756407168,0.2773727783632003,0.2773727783632003,0.0900230676328824
1.0,0.5,1.0,1.0,0.0120226443461741,1.0,0.3552001725160805,0.2773338203915454,0.2773338203915453,0.0901321867008287
