p,q,r,s,l,p00,p01,p10,p11
1.0,0.2290867652767773,1.0,1.0,0.01,0.5342349617324399,0.1657968330559056,0.1657968330559056,0.1341713721557488
1.0,0.251188643150958,1.0,1.0,0.01,0.5310370483054422,0.1677679497928745,0.1677679497928744,0.1334270521088088
1.0,0.2754228703338166,1.0,1.0,0.01,0.5275743151385004,0.1699022877004068,0.1699022877004068,0.1326211094606859
1.0,0.3019951720402016,1.0,1.0,0.01,0.5238290303184988,0.1722107742834195,0.1722107742834195,0.1317494211146622
1.0,0.3311311214825911,1.0,1.0,0.01,0.5197830431613367,0.1747045947556735,0.1747045947556735,0.1308077673273162
1.0,0.3630780547701014,1.0,1.0,0.01,0.515417927481619,0.1773951036612839,0.1773951036612839,0.1297918651958133
1.0,0.3981071705534973,1.0,1.0,0.01,0.5107151565788706,0.1802937169371261,0.180293716937126,0.1286974095468772
1.0,0.4365158322401661,1.0,1.0,0.01,0.5056563124453382,0.1834117828712269,0.1834117828712269,0.1275201218122078
1.0,0.4786300923226382,1.0,1.0,0.01,0.5002233311456457,0.1867604307542404,0.1867604307542404,0.1262558073458734
1.0,0.5248074602497725,1.0,1.0,0.01,0.4943987855173453,0.1903503965150569,0.1903503965150569,0.1249004214525408
1.0,0.5754399373371569,1.0,1.0,0.01,0.4881662052624456,0.194191825296768,0.194191825296768,0.1234501441440184
1.0,0.6309573444801934,1.0,1.0,0.01,0.4815104331213658,0.1982940517791404,0.1982940517791404,0.1219014633203533
1.0,0.6918309709189366,1.0,1.0,0.01,0.4744180141354733,0.2026653600927535,0.2026653600927535,0.1202512656790198
1.0,0.758577575029184,1.0,1.0,0.01,0.4668776130265485,0.2073127263892896,0.2073127263892896,0.1184969341948723
1.0,0.8317637711026709,1.0,1.0,0.01,0.458880452493052,0.212241548506353,0.2122415485063529,0.116636450494242
1.0,0.9120108393559097,1.0,1.0,0.01,0.4504207628191295,0.2174553686472357,0.2174553686472357,0.1146684998863988
1.0,1.0,1.0,1.0,0.01,0.4414962307259299,0.2229555965165948,0.2229555965165948,0.1125925762408803
0.9120108393559097,1.0,0.9120108393559097,0.9120108393559097,0.01,0.4321084330178836,0.2287412418183769,0.2287412418183769,0.1104090833453624
0.8317637711026709,1.0,0.8317637711026709,0.8317637711026709,0.01,0.4222632384772504,0.2348086663165668,0.2348086663165668,0.1081194288896159
0.7585775750291834,1.0,0.7585775750291834,0.7585775750291834,0.01,0.4119711598543101,0.2411513666493465,0.2411513666493462,0.1057261068469971
0.6918309709189362,1.0,0.6918309709189362,0.6918309709189362,0.01,0.4012476369171118,0.2477597996318191,0.2477597996318189,0.10323276381925
