p,q,r,s,l,p00,p01,p10,p11
1.0,0.0120226443461741,1.0,1.0,0.01,0.5678167532310032,0.1450974615574971,0.1450974615574971,0.1419883236540026
1.0,0.013182567385564,1.0,1.0,0.01,0.5676260884682724,0.1452149865514007,0.1452149865514007,0.1419439384289261
1.0,0.0144543977074592,1.0,1.0,0.01,0.5674171758053707,0.1453437594559524,0.1453437594559524,0.1418953052827246
1.0,0.0158489319246111,1.0,1.0,0.01,0.5671882842736268,0.1454848472268278,0.1454848472268278,0.1418420212727175
1.0,0.0173780082874937,1.0,1.0,0.01,0.5669375218198436,0.1456394161100611,0.1456394161100611,0.141783645960034
1.0,0.0190546071796324,1.0,1.0,0.01,0.5666628209422719,0.1458087404956538,0.1458087404956538,0.1417196980664205
1.0,0.0208929613085403,1.0,1.0,0.01,0.5663619231727278,0.1459942124823521,0.1459942124823521,0.141649651862568
1.0,0.0229086765276777,1.0,1.0,0.01,0.5660323623385267,0.1461973521944631,0.1461973521944631,0.1415729332725469
1.0,0.0251188643150957,1.0,1.0,0.01,0.5656714465400166,0.1464198188902762,0.1464198188902762,0.1414889156794308
1.0,0.0275422870333816,1.0,1.0,0.01,0.5652762387833477,0.1466634228992799,0.1466634228992799,0.1413969154180924
1.0,0.0301995172040201,1.0,1.0,0.01,0.56484353621412,0.1469301384216584,0.1469301384216584,0.141296186942563
1.0,0.0331131121482591,1.0,1.0,0.01,0.5643698479062357,0.1472221172181953,0.1472221172181953,0.1411859176573737
1.0,0.0363078054770101,1.0,1.0,0.01,0.5638513711722054,0.1475417032113545,0.1475417032113545,0.1410652224050854
1.0,0.0398107170553497,1.0,1.0,0.01,0.563283966377025,0.1478914480085296,0.1478914480085296,0.1409331376059155
1.0,0.0436515832240166,1.0,1.0,0.01,0.5626631302583098,0.1482741273457562,0.1482741273457562,0.1407886150501776
1.0,0.0478630092322638,1.0,1.0,0.01,0.5619839677815882,0.1486927584340254,0.1486927584340254,0.1406305153503609
1.0,0.0524807460249772,1.0,1.0,0.01,0.5612411625924897,0.1491506181700805,0.1491506181700805,0.1404576010673493
1.0,0.0575439937337156,1.0,1.0,0.01,0.5604289461682167,0.1496512621485151,0.1496512621485151,0.140268529534753
1.0,0.0630957344480193,1.0,1.0,0.01,0.5595410658203831,0.1501985443813423,0.1501985443813423,0.1400618454169322
1.0,0.0691830970918936,1.0,1.0,0.01,0.5585707517614736,0.1507966375941031,0.1507966375941031,0.13983597305032
1.0,0.0758577575029183,1.0,1.0,0.01,0.5575106835192702,0.1514500539231277,0.1514500539231277,0.1395892086344742
1.0,0.083176377110267,1.0,1.0,0.01,0.5563529560691924,0.1521636657857778,0.1521636657857778,0.1393197123592517
1.0,0.0912010839355909,1.0,1.0,0.01,0.5550890461551553,0.1529427266334328,0.1529427266334328,0.1390255005779789
1.0,0.1,1.0,1.0,0.01,0.553709779386797,0.1537928912246828,0.1537928912246828,0.1387044381638374
1.0,0.1096478196143185,1.0,1.0,0.01,0.5522052988361291,0.1547202349728282,0.1547202349728282,0.1383542312182143
1.0,0.1202264434617413,1.0,1.0,0.01,0.5505650360108961,0.15573127182668,0.15573127182668,0.1379724203357437
1.0,0.1318256738556407,1.0,1.0,0.01,0.5487776852558228,0.1568329700364317,0.1568329700364317,0.1375563746713137
1.0,0.1445439770745927,1.0,1.0,0.01,0.5468311828263959,0.158032765037083,0.158032765037083,0.1371032870994381
1.0,0.1584893192461113,1.0,1.0,0.01,0.5447126920918378,0.1593385685511629,0.1593385685511629,0.1366101708058362
1.0,0.1737800828749375,1.0,1.0,0.01,0.5424085965521329,0.1607587728717928,0.1607587728717928,0.1360738577042813
1.0,0.1905460717963247,1.0,1.0,0.01,0.5399045025942573,0.1623022491389572,0.1623022491389572,0.1354909991278281
1.0,0.2089296130854039,1.0,1.0,0.01,0.5371852541589495,0.1639783382700546,0.1639783382700546,0.1348580693009411
1.0,0.0109647819614318,1.0,1.0,0.02,0.5663470793332565,0.146002022651023,0.146002022651023,0.1416488753646974
1.0,0.0120226443461741,1.0,1.0,0.02,0.56617069318012,0.1461092783261801,0.1461092783261801,0.1416107501675197
1.0,0.013182567385564,1.0,1.0,0.02,0.5659774157641989,0.1462268050524855,0.1462268050524855,0.14156897413083
1.0,0.0144543977074592,1.0,1.0,0.02,0.5657656428080065,0.1463555783266842,0.1463555783266842,0.1415232005386249
1.0,0.0158489319246111,1.0,1.0,0.02,0.5655336203366729,0.1464966646675493,0.1464966646675493,0.1414730503282284
1.0,0.0173780082874937,1.0,1.0,0.02,0.5652794312474607,0.1466512297815493,0.1466512297815493,0.1414181091894406
1.0,0.0190546071796324,1.0,1.0,0.02,0.5650009807833459,0.1468205473947113,0.1468205473947113,0.1413579244272315
1.0,0.0208929613085403,1.0,1.0,0.02,0.5646959808438183,0.1470060087912825,0.1470060087912825,0.1412920015736167
1.0,0.0229086765276777,1.0,1.0,0.02,0.5643619330669876,0.1472091330992193,0.1472091330992193,0.1412198007345738
1.0,0.0251188643150957,1.0,1.0,0.02,0.56399611061947,0.1474315783610723,0.1474315783610723,0.1411407326583852
1.0,0.0275422870333816,1.0,1.0,0.02,0.5635955386347077,0.1476751534262819,0.1476751534262819,0.1410541545127285
1.0,0.0301995172040201,1.0,1.0,0.02,0.5631569732467987,0.1479418306969769,0.1479418306969769,0.1409593653592473
1.0,0.0331131121482591,1.0,1.0,0.02,0.5626768791761044,0.1482337597537712,0.1482337597537712,0.1408556013163529
1.0,0.0363078054770101,1.0,1.0,0.02,0.5621514058354138,0.1485532818804139,0.1485532818804139,0.1407420304037583
1.0,0.0398107170553497,1.0,1.0,0.02,0.5615763619420545,0.148902945496037,0.148902945496037,0.1406177470658714
1.0,0.0436515832240166,1.0,1.0,0.02,0.5609471886427678,0.1492855224906818,0.1492855224906818,0.1404817663758683
1.0,0.0478630092322638,1.0,1.0,0.02,0.5602589311853895,0.1497040254431994,0.1497040254431994,0.1403330179282115
