p,q,r,s,l,d,p00,p01,p10,p11
1.0,0.81,1.0,0.07,1.0,1.0,0.7994604308948573,0.0946650809293256,0.0946650809293256,0.0112094072464911
1.0,0.8200000000000001,1.0,0.07,1.0,1.0,0.7985259750337633,0.0950768310460761,0.0950768310460761,0.0113203628740842
1.0,0.8300000000000001,1.0,0.07,1.0,1.0,0.7975931565852316,0.0954875545407179,0.0954875545407178,0.0114317343333326
1.0,0.84,1.0,0.07,1.0,1.0,0.7966619717259246,0.0958972541666346,0.0958972541666347,0.0115435199408061
1.0,0.85,1.0,0.07,1.0,1.0,0.7957324166436585,0.0963059326685549,0.0963059326685549,0.0116557180192316
1.0,0.86,1.0,0.07,1.0,1.0,0.7948044875373628,0.0967135927825838,0.0967135927825837,0.0117683268974695
1.0,0.87,1.0,0.07,1.0,1.0,0.7938781806170422,0.0971202372362344,0.0971202372362344,0.0118813449104888
1.0,0.88,1.0,0.07,1.0,1.0,0.7929534921037373,0.0975258687484597,0.0975258687484596,0.0119947703993432
1.0,0.89,1.0,0.07,1.0,1.0,0.7920304182294867,0.0979304900296832,0.0979304900296832,0.0121086017111468
1.0,0.9,1.0,0.07,1.0,1.0,0.7911089552372877,0.0983341037818311,0.0983341037818311,0.01222283719905
1.0,0.91,1.0,0.07,1.0,1.0,0.7901890993810594,0.0987367126983623,0.0987367126983623,0.0123374752222159
1.0,0.92,1.0,0.07,1.0,1.0,0.7892708469256036,0.0991383194643001,0.0991383194643001,0.0124525141457962
1.0,0.93,1.0,0.07,1.0,1.0,0.7883541941465668,0.0995389267562628,0.0995389267562628,0.0125679523409075
1.0,0.94,1.0,0.07,1.0,1.0,0.7874391373304035,0.0999385372424942,0.0999385372424942,0.0126837881846081
1.0,0.95,1.0,0.07,1.0,1.0,0.7865256727743374,0.1003371535828944,0.1003371535828943,0.0128000200598739
1.0,0.96,1.0,0.07,1.0,1.0,0.7856137967863241,0.1007347784290502,0.1007347784290501,0.0129166463555754
1.0,0.97,1.0,0.07,1.0,1.0,0.7847035056850156,0.1011314144242651,0.101131414424265,0.0130336654664543
1.0,0.98,1.0,0.07,1.0,1.0,0.7837947957997197,0.1015270642035899,0.1015270642035898,0.0131510757931005
1.0,0.99,1.0,0.07,1.0,1.0,0.7828876634703664,0.1019217303938524,0.1019217303938523,0.0132688757419286
1.0,1.0,1.0,0.07,1.0,1.0,0.7819821050474695,0.1023154156136876,0.1023154156136875,0.0133870637251553
1.0,0.6,1.0,0.08,1.0,1.0,0.799307047936494,0.0947326871628437,0.0947326871628437,0.0112275777378185
1.0,0.61,1.0,0.08,1.0,1.0,0.7982494138506018,0.0951986337999606,0.0951986337999606,0.0113533185494767
1.0,0.62,1.0,0.08,1.0,1.0,0.7971938775510204,0.0956632653061224,0.0956632653061224,0.0114795918367346
1.0,0.63,1.0,0.08,1.0,1.0,0.7961404334935518,0.0961265856736658,0.0961265856736658,0.0116063951591166
1.0,0.64,1.0,0.08,1.0,1.0,0.795089076152301,0.096588598880724,0.0965885988807239,0.0117337260862509
1.0,0.65,1.0,0.08,1.0,1.0,0.794039800019606,0.0970493088912852,0.0970493088912852,0.0118615821978237
1.0,0.66,1.0,0.08,1.0,1.0,0.792992599605962,0.0975087196552516,0.0975087196552516,0.0119899610835346
1.0,0.67,1.0,0.08,1.0,1.0,0.7919474694399528,0.0979668351084979,0.0979668351084979,0.0121188603430512
1.0,0.68,1.0,0.08,1.0,1.0,0.7909044040681777,0.0984236591729288,0.0984236591729288,0.0122482775859644
1.0,0.6900000000000001,1.0,0.08,1.0,1.0,0.7898633980551808,0.0988791957565374,0.0988791957565374,0.0123782104317443
1.0,0.7000000000000001,1.0,0.08,1.0,1.0,0.7888244459833795,0.0993334487534626,0.0993334487534625,0.0125086565096952
1.0,0.71,1.0,0.08,1.0,1.0,0.7877875424529953,0.0997864220440461,0.099786422044046,0.0126396134589125
1.0,0.72,1.0,0.08,1.0,1.0,0.7867526820819829,0.1002381194948897,0.1002381194948897,0.0127710789282377
1.0,0.73,1.0,0.08,1.0,1.0,0.7857198595059602,0.1006885449589118,0.1006885449589118,0.0129030505762161
1.0,0.74,1.0,0.08,1.0,1.0,0.7846890693781388,0.1011377022754045,0.1011377022754045,0.0130355260710521
1.0,0.75,1.0,0.08,1.0,1.0,0.7836603063692557,0.1015855952700887,0.1015855952700886,0.013168503090567
1.0,0.76,1.0,0.08,1.0,1.0,0.7826335651675028,0.1020322277551708,0.1020322277551707,0.0133019793221556
1.0,0.77,1.0,0.08,1.0,1.0,0.7816088404784604,0.1024776035293981,0.1024776035293981,0.0134359524627433
1.0,0.78,1.0,0.08,1.0,1.0,0.7805861270250267,0.1029217263781146,0.1029217263781146,0.0135704202187439
1.0,0.79,1.0,0.08,1.0,1.0,0.7795654195473516,0.1033646000733156,0.1033646000733155,0.0137053803060174
1.0,0.8,1.0,0.08,1.0,1.0,0.7785467128027681,0.1038062283737024,0.1038062283737023,0.0138408304498269
1.0,0.81,1.0,0.08,1.0,1.0,0.7775300015657258,0.104246615024738,0.104246615024738,0.0139767683847982
1.0,0.8200000000000001,1.0,0.08,1.0,1.0,0.7765152806277223,0.1046857637587005,0.1046857637587004,0.0141131918548766
1.0,0.8300000000000001,1.0,0.08,1.0,1.0,0.7755025447972396,0.1051236782947369,0.1051236782947369,0.0142500986132865
1.0,0.84,1.0,0.08,1.0,1.0,0.7744917888996736,0.1055603623389185,0.1055603623389184,0.0143874864224896
1.0,0.85,1.0,0.08,1.0,1.0,0.7734830077772709,0.1059958195842926,0.1059958195842926,0.0145253530541438
1.0,0.86,1.0,0.08,1.0,1.0,0.7724761962890625,0.1064300537109374,0.1064300537109374,0.0146636962890624
1.0,0.87,1.0,0.08,1.0,1.0,0.7714713493107976,0.1068630683860142,0.1068630683860142,0.0148025139171738
1.0,0.88,1.0,0.08,1.0,1.0,0.7704684617348793,0.1072948672638202,0.1072948672638202,0.0149418037374801
1.0,0.89,1.0,0.08,1.0,1.0,0.7694675284702984,0.1077254539858418,0.1077254539858417,0.0150815635580178
1.0,0.9,1.0,0.08,1.0,1.0,0.7684685444425704,0.1081548321808062,0.1081548321808062,0.0152217911958171
1.0,0.91,1.0,0.08,1.0,1.0,0.7674715045936699,0.1085830054647339,0.1085830054647339,0.0153624844768623
1.0,0.92,1.0,0.08,1.0,1.0,0.7664764038819665,0.1090099774409908,0.1090099774409908,0.015503641236052
1.0,0.93,1.0,0.08,1.0,1.0,0.7654832372821626,0.1094357517003389,0.1094357517003389,0.0156452593171595
1.0,0.94,1.0,0.08,1.0,1.0,0.7644919997852291,0.1098603318209885,0.1098603318209885,0.0157873365727939
1.0,0.95,1.0,0.08,1.0,1.0,0.7635026863983412,0.1102837213686492,0.1102837213686492,0.0159298708643604
1.0,0.96,1.0,0.08,1.0,1.0,0.7625152921448165,0.1107059238965807,0.1107059238965807,0.0160728600620221
1.0,0.97,1.0,0.08,1.0,1.0,0.761529812064053,0.1111269429456432,0.1111269429456432,0.0162163020446605
1.0,0.98,1.0,0.08,1.0,1.0,0.7605462412114655,0.1115467820443483,0.1115467820443483,0.0163601946998377
1.0,0.99,1.0,0.08,1.0,1.0,0.759564574658425,0.1119654447089086,0.1119654447089086,0.0165045359237576
1.0,1.0,1.0,0.08,1.0,1.0,0.7585848074921956,0.1123829344432882,0.1123829344432882,0.0166493236212278
1.0,0.43,1.0,0.09,1.0,1.0,0.799943610068824,0.0944520574457408,0.0944520574457409,0.0111522750396943
1.0,0.44,1.0,0.09,1.0,1.0,0.7987634139276051,0.0949722371055207,0.0949722371055207,0.0112921118613536
