p,q,r,s,l,d,p00,p01,p10,p11
1.0,1.0,0.01,1.0,1.0,12.02264434617413,0.0020880259234946,0.1398977368741272,0.139897736874127,0.7181165003282511
1.0,1.0,0.01,1.0,1.0,13.182567385564074,0.0022000948497087,0.1474063549304836,0.1474063549304834,0.7029871952893242
1.0,1.0,0.01,1.0,1.0,14.45439770745928,0.0023133315499661,0.1549932138477317,0.1549932138477314,0.6877002407545707
1.0,1.0,0.01,1.0,1.0,15.848931924611142,0.0024272682333235,0.162626971632694,0.1626269716326938,0.6723187885012887
1.0,1.0,0.01,1.0,1.0,17.378008287493763,0.0025414253661791,0.1702754995340271,0.1702754995340269,0.6569075755657667
1.0,1.0,0.01,1.0,1.0,19.054607179632484,0.0026553196943275,0.1779064195199809,0.1779064195199806,0.6415318412657108
1.0,1.0,0.01,1.0,1.0,20.892961308540407,0.0027684723977807,0.1854876506513209,0.1854876506513207,0.6262562262995777
1.0,1.0,0.01,1.0,1.0,22.908676527677724,0.0028804170874167,0.1929879448569447,0.1929879448569445,0.611143693198694
1.0,1.0,0.01,1.0,1.0,25.118864315095795,0.0029907073621499,0.2003773932640635,0.2003773932640632,0.5962545061097233
1.0,1.0,0.01,1.0,1.0,27.542287033381665,0.0030989236717202,0.2076278860052598,0.2076278860052594,0.5816453043177605
1.0,1.0,0.01,1.0,1.0,30.19951720402016,0.0032046792710501,0.2147135111603466,0.2147135111603464,0.5673682984082568
1.0,1.0,0.01,1.0,1.0,33.11311214825911,0.0033076251037275,0.2216108819497564,0.2216108819497562,0.5534706109967598
1.0,1.0,0.01,1.0,1.0,36.30780547701014,0.0034074535102233,0.2282993851849736,0.2282993851849734,0.5399937761198296
1.0,1.0,0.01,1.0,1.0,39.81071705534973,0.0035039007162708,0.2347613479901777,0.2347613479901775,0.5269734033033738
1.0,1.0,0.01,1.0,1.0,43.65158322401661,0.0035967481140939,0.240982123644297,0.2409821236442968,0.5144390045973121
1.0,1.0,0.01,1.0,1.0,47.86300923226385,0.0036858224000817,0.246950100805473,0.2469501008054728,0.5024139759889725
1.0,1.0,0.01,1.0,1.0,52.480746024977286,0.0037709946744206,0.2526566431861662,0.252656643186166,0.4909157189532471
1.0,1.0,0.01,1.0,1.0,57.54399373371572,0.0038521786393474,0.2580959688362731,0.258095968836273,0.4799558836881063
1.0,1.0,0.01,1.0,1.0,63.09573444801936,0.0039293280526338,0.2632649795264624,0.2632649795264621,0.4695407128944417
1.0,1.0,0.01,1.0,1.0,69.18309709189363,0.0040024336019734,0.2681630513322062,0.2681630513322061,0.4596714637336141
1.0,1.0,0.01,1.0,1.0,75.85775750291836,0.0040715193653629,0.2727917974793317,0.2727917974793315,0.4503448856759736
1.0,1.0,0.01,1.0,1.0,83.17637711026708,0.0041366390139883,0.2771548139372329,0.2771548139372327,0.4415537331115459
1.0,1.0,0.01,1.0,1.0,91.20108393559096,0.0041978718995029,0.2812574172666977,0.2812574172666974,0.433287293567102
1.0,1.0,0.01,1.0,1.0,100.0,0.004255319148936,0.2851063829787235,0.2851063829787233,0.4255319148936171
1.0,1.0,0.02,1.0,1.0,6.918309709189363,0.004502071339861,0.1515697351086423,0.1515697351086422,0.6923584584428543
1.0,1.0,0.02,1.0,1.0,7.585775750291836,0.0047276541485022,0.1591643563329093,0.1591643563329091,0.6769436331856792
1.0,1.0,0.02,1.0,1.0,8.317637711026709,0.0049540421056031,0.1667860842219772,0.1667860842219772,0.6614737894504424
1.0,1.0,0.02,1.0,1.0,9.120108393559097,0.0051802775523547,0.1744026775959467,0.1744026775959467,0.6460143672557518
1.0,1.0,0.02,1.0,1.0,10.0,0.0054054054054055,0.1819819819819821,0.181981981981982,0.6306306306306304
1.0,1.0,0.02,1.0,1.0,10.964781961431852,0.0056284892076932,0.1894924699923432,0.1894924699923431,0.6153865708076206
1.0,1.0,0.02,1.0,1.0,12.02264434617413,0.005848626517833,0.196903759433709,0.196903759433709,0.6003438546147489
1.0,1.0,0.02,1.0,1.0,13.182567385564074,0.0060649631085722,0.2041870913219266,0.2041870913219265,0.5855608542475745
1.0,1.0,0.02,1.0,1.0,14.45439770745928,0.0062767055155675,0.2113157523574453,0.2113157523574452,0.5710917897695418
1.0,1.0,0.02,1.0,1.0,15.848931924611142,0.006483131572851,0.2182654296193173,0.2182654296193173,0.5569860091885143
1.0,1.0,0.02,1.0,1.0,17.378008287493763,0.0066835986826702,0.2250144889832284,0.2250144889832284,0.5432874233508728
1.0,1.0,0.02,1.0,1.0,19.054607179632484,0.006877549685787,0.2315441727548362,0.2315441727548361,0.5300341048045407
1.0,1.0,0.02,1.0,1.0,20.892961308540407,0.0070645163147859,0.2378387159311342,0.237838715931134,0.5172580518229458
1.0,1.0,0.02,1.0,1.0,22.908676527677724,0.0072441203195576,0.2438853840917756,0.2438853840917755,0.5049851114968913
1.0,1.0,0.02,1.0,1.0,25.118864315095795,0.00741607244463,0.2496744389692098,0.2496744389692098,0.4932350496169502
1.0,1.0,0.02,1.0,1.0,27.542287033381665,0.007580169508283,0.2551990401121883,0.2551990401121882,0.4820217502673405
1.0,1.0,0.02,1.0,1.0,30.19951720402016,0.0077362898814964,0.2604550926770471,0.2604550926770469,0.4713535247644095
1.0,1.0,0.02,1.0,1.0,33.11311214825911,0.0078843876908715,0.2654410522593491,0.265441052259349,0.4612335077904305
1.0,1.0,0.02,1.0,1.0,36.30780547701014,0.0080244860755149,0.270157697875663,0.2701576978756629,0.4516601181731591
1.0,1.0,0.02,1.0,1.0,39.81071705534973,0.0081566698165225,0.2746078838229217,0.2746078838229216,0.4426275625376342
1.0,1.0,0.02,1.0,1.0,43.65158322401661,0.0082810776328553,0.2787962803061248,0.2787962803061247,0.434126361754895
1.0,1.0,0.02,1.0,1.0,47.86300923226385,0.0083978944029925,0.2827291115674107,0.2827291115674106,0.4261438824621861
1.0,1.0,0.02,1.0,1.0,52.480746024977286,0.0085073435316564,0.2864138988991035,0.2864138988991034,0.4186648586701365
1.0,1.0,0.02,1.0,1.0,57.54399373371572,0.0086096796384457,0.2898592144943504,0.2898592144943504,0.4116718913728533
1.0,1.0,0.02,1.0,1.0,63.09573444801936,0.0087051817032305,0.293074450675429,0.2930744506754289,0.4051459169459115
1.0,1.0,0.02,1.0,1.0,69.18309709189363,0.0087941467637609,0.2960696077132848,0.2960696077132846,0.3990666378096697
1.0,1.0,0.02,1.0,1.0,75.85775750291836,0.0088768842255927,0.298855102261612,0.298855102261612,0.3934129112511833
1.0,1.0,0.02,1.0,1.0,83.17637711026708,0.0089537108139761,0.301441597403859,0.301441597403859,0.3881630943783059
1.0,1.0,0.02,1.0,1.0,91.20108393559096,0.009024946172198,0.3038398544640081,0.303839854464008,0.3832953448997859
1.0,1.0,0.02,1.0,1.0,100.0,0.0090909090909091,0.3060606060606061,0.306060606060606,0.3787878787878787
1.0,1.0,0.03,1.0,1.0,5.754399373371572,0.0075360036157587,0.1699787482221222,0.1699787482221219,0.6525064999399972
1.0,1.0,0.03,1.0,1.0,6.309573444801936,0.0078719652435084,0.1775565493813568,0.1775565493813564,0.6370149359937785
