p,q,r,s,l,p00,p01,p10,p11
1.0,1.0,1.0,0.05,3.630780547701014,0.7993392280196085,0.0808959947140861,0.0808959947140861,0.0388687825522193
1.0,1.0,1.0,0.06,1.584893192461114,0.7989957780036437,0.091949662558702,0.0919496625587021,0.0171048968789521
1.0,1.0,1.0,0.06,1.7378008287493762,0.7967120902406009,0.0920771727520819,0.092077172752082,0.0191335642552352
1.0,1.0,1.0,0.06,1.9054607179632483,0.7941144251444485,0.0922035393213816,0.0922035393213816,0.0214784962127882
1.0,1.0,1.0,0.06,2.0892961308540388,0.791155933280197,0.0923260287135356,0.0923260287135356,0.0241920092927315
1.0,1.0,1.0,0.06,2.2908676527677723,0.787782741732109,0.0924411609822736,0.0924411609822737,0.0273349363033435
1.0,1.0,1.0,0.06,2.51188643150958,0.7839330676692504,0.0925445622758309,0.092544562275831,0.0309778077790875
1.0,1.0,1.0,0.06,2.7542287033381663,0.779536305564636,0.092630797377072,0.092630797377072,0.0352020996812196
1.0,1.0,1.0,0.06,3.019951720402016,0.7745121293106035,0.0926931830165289,0.0926931830165289,0.0401015046563383
1.0,1.0,1.0,0.06,3.311311214825911,0.7687696713445911,0.0927235846046817,0.0927235846046817,0.0457831594460455
1.0,1.0,1.0,0.07,0.0109647819614318,0.7951713264133954,0.1006752098090312,0.1006752098090312,0.0034782539685422
1.0,1.0,1.0,0.07,0.0120226443461741,0.7951598098870056,0.100677351802106,0.100677351802106,0.0034854865087822
1.0,1.0,1.0,0.07,0.013182567385564,0.7951471756893265,0.1006796994981096,0.1006796994981096,0.0034934253144541
1.0,1.0,1.0,0.07,0.0144543977074592,0.7951333146598112,0.1006822725501732,0.1006822725501731,0.0035021402398425
1.0,1.0,1.0,0.07,0.0158489319246111,0.795118106837611,0.1006850924685401,0.1006850924685401,0.0035117082253087
1.0,1.0,1.0,0.07,0.0173780082874937,0.7951014203653143,0.1006881827918503,0.1006881827918503,0.003522214050985
1.0,1.0,1.0,0.07,0.0190546071796324,0.795083110275969,0.1006915692733523,0.1006915692733523,0.0035337511773264
1.0,1.0,1.0,0.07,0.0208929613085403,0.7950630171499203,0.1006952800831633,0.1006952800831633,0.003546422683753
1.0,1.0,1.0,0.07,0.0229086765276777,0.7950409656262575,0.1006993460277342,0.1006993460277342,0.0035603423182738
1.0,1.0,1.0,0.07,0.0251188643150957,0.7950167627516533,0.1007038007877145,0.1007038007877145,0.0035756356729175
1.0,1.0,1.0,0.07,0.0275422870333816,0.7949901961470865,0.1007086811754309,0.1007086811754309,0.0035924415020516
1.0,1.0,1.0,0.07,0.0301995172040201,0.7949610319702916,0.1007140274131947,0.1007140274131947,0.0036109132033186
1.0,1.0,1.0,0.07,0.0331131121482591,0.794929012648713,0.1007198834336384,0.1007198834336383,0.0036312204840101
1.0,1.0,1.0,0.07,0.0363078054770101,0.7948938543542087,0.1007262972032271,0.1007262972032271,0.0036535512393372
1.0,1.0,1.0,0.07,0.0398107170553497,0.7948552441866519,0.1007333210700101,0.1007333210700101,0.0036781136733278
1.0,1.0,1.0,0.07,0.0436515832240166,0.7948128370288192,0.1007410121365368,0.1007410121365368,0.0037051386981072
1.0,1.0,1.0,0.07,0.0478630092322638,0.7947662520294207,0.1007494326586681,0.1007494326586681,0.0037348826532429
1.0,1.0,1.0,0.07,0.0524807460249772,0.7947150686646957,0.1007586504707401,0.1007586504707401,0.003767630393824
1.0,1.0,1.0,0.07,0.0575439937337156,0.7946588223214712,0.100768739437167,0.100768739437167,0.0038036988041946
1.0,1.0,1.0,0.07,0.0630957344480193,0.7945969993358195,0.1007797799300815,0.1007797799300815,0.0038434408040172
1.0,1.0,1.0,0.07,0.0691830970918936,0.7945290314111704,0.1007918593319752,0.1007918593319753,0.0038872499248789
1.0,1.0,1.0,0.07,0.0758577575029183,0.7944542893277258,0.1008050725614811,0.100805072561481,0.0039355655493118
1.0,1.0,1.0,0.07,0.083176377110267,0.7943720758409263,0.1008195226193954,0.1008195226193953,0.0039888789202829
1.0,1.0,1.0,0.07,0.0912010839355909,0.7942816176501728,0.1008353211507215,0.1008353211507215,0.0040477400483842
1.0,1.0,1.0,0.07,0.1,0.794182056299593,0.1008525890168555,0.1008525890168555,0.004112765666696
