p,q,r,s,l,d,p00,p01,p10,p11
1.0,1.0,1.0,1.0,0.010974987654930561,1.0,0.3070027022131749,0.3070027022131749,0.307002702213175,0.07899189336047528
1.0,1.0,1.0,1.0,0.012045035402587823,1.0,0.3069357922864768,0.30693579228647694,0.30693579228647694,0.07919262314056935
1.0,1.0,1.0,1.0,0.013219411484660288,1.0,0.3068624241143088,0.3068624241143088,0.3068624241143088,0.07941272765707362
1.0,1.0,1.0,1.0,0.014508287784959394,1.0,0.3067819810063767,0.30678198100637666,0.3067819810063767,0.07965405698086989
1.0,1.0,1.0,1.0,0.015922827933410922,1.0,0.3066937886759758,0.30669378867597574,0.3066937886759758,0.07991863397207274
1.0,1.0,1.0,1.0,0.01747528400007684,1.0,0.3065971101025059,0.30659711010250584,0.30659711010250584,0.08020866969248244
1.0,1.0,1.0,1.0,0.019179102616724886,1.0,0.30649113997852995,0.30649113997853,0.30649113997853,0.08052658006441017
1.0,1.0,1.0,1.0,0.02104904144512021,1.0,0.3063749987145171,0.3063749987145171,0.3063749987145172,0.08087500385644866
1.0,1.0,1.0,1.0,0.023101297000831605,1.0,0.3062477259734174,0.3062477259734171,0.3062477259734171,0.08125682207974831
1.0,1.0,1.0,1.0,0.025353644939701114,1.0,0.306108273706108,0.30610827370610794,0.30610827370610794,0.0816751788816762
1.0,1.0,1.0,1.0,0.027825594022071243,1.0,0.3059554986574172,0.30595549865741706,0.30595549865741706,0.08213350402774879
1.0,1.0,1.0,1.0,0.030538555088334154,1.0,0.3057881543106904,0.3057881543106903,0.30578815431069034,0.08263553706792899
1.0,1.0,1.0,1.0,0.033516026509388425,1.0,0.30560488223647836,0.3056048822364786,0.3056048822364786,0.08318535329056435
1.0,1.0,1.0,1.0,0.03678379771828634,1.0,0.30540420280750435,0.30540420280750435,0.3054042028075043,0.08378739157748702
1.0,1.0,1.0,1.0,0.040370172585965536,1.0,0.30518450523711194,0.30518450523711194,0.30518450523711194,0.08444648428866418
1.0,1.0,1.0,1.0,0.044306214575838825,1.0,0.3049440368911992,0.30494403689119903,0.30494403689119903,0.08516788932640271
1.0,1.0,1.0,1.0,0.04862601580065353,1.0,0.304680891813202,0.3046808918132022,0.3046808918132022,0.08595732456039368
1.0,1.0,1.0,1.0,0.0533669923120631,1.0,0.3043929983867543,0.30439299838675415,0.30439299838675415,0.08682100483973743
1.0,1.0,1.0,1.0,0.05857020818056667,1.0,0.3040781060394242,0.30407810603942415,0.30407810603942415,0.08776568188172751
1.0,1.0,1.0,1.0,0.06428073117284322,1.0,0.3037337708611981,0.30373377086119824,0.30373377086119824,0.08879868741640543
1.0,1.0,1.0,1.0,0.07054802310718646,1.0,0.3033573399701289,0.30335733997012876,0.30335733997012887,0.08992798008961357
1.0,1.0,1.0,1.0,0.0774263682681127,1.0,0.302945934401059,0.302945934401059,0.30294593440105894,0.09116219679682294
1.0,1.0,1.0,1.0,0.08497534359086446,1.0,0.3024964302167188,0.3024964302167187,0.3024964302167186,0.09251070934984401
1.0,1.0,1.0,1.0,0.093260334688322,1.0,0.30200543743777586,0.3020054374377761,0.30200543743777597,0.09398368768667198
1.0,1.0,1.0,1.0,0.10235310218990264,1.0,0.30146927625218445,0.3014692762521844,0.3014692762521844,0.09559217124344661
1.0,1.0,1.0,1.0,0.11233240329780277,1.0,0.3008839497853977,0.3008839497853977,0.3008839497853977,0.09734815064380689
1.0,1.0,1.0,1.0,0.12328467394420665,1.0,0.3002451124810413,0.30024511248104135,0.30024511248104135,0.099264662556876
1.0,1.0,1.0,1.0,0.13530477745798075,1.0,0.29954803284403,0.2995480328440298,0.29954803284403,0.10135590146791028
1.0,1.0,1.0,1.0,0.1484968262254465,1.0,0.298787548921012,0.29878754892101217,0.2987875489210121,0.10363735323696385
1.0,1.0,1.0,1.0,0.16297508346206444,1.0,0.29795801442155934,0.29795801442155917,0.29795801442155917,0.10612595673532234
1.0,1.0,1.0,1.0,0.1788649529057435,1.0,0.29705323280294604,0.29705323280294615,0.29705323280294615,0.10884030159116158
1.0,1.0,1.0,1.0,0.19630406500402714,1.0,0.2960663759389951,0.2960663759389949,0.2960663759389949,0.11180087218301524
1.0,1.0,1.0,1.0,0.21544346900318845,1.0,0.29498988316172847,0.2949898831617284,0.29498988316172847,0.11503035051481451
1.0,1.0,1.0,1.0,0.23644894126454083,1.0,0.2938153355061354,0.29381533550613553,0.29381533550613553,0.11855399348159361
1.0,1.0,1.0,1.0,0.25950242113997374,1.0,0.29253329892364227,0.2925332989236424,0.29253329892364244,0.12240010322907291
1.0,1.0,1.0,1.0,0.2848035868435802,1.0,0.2911331291086427,0.2911331291086427,0.2911331291086427,0.12660061267407208
1.0,1.0,1.0,1.0,0.3125715849688237,1.0,0.2896027295003929,0.28960272950039284,0.2896027295003929,0.13119181149882136
1.0,1.0,1.0,1.0,0.34304692863149194,1.0,0.28792825314544973,0.2879282531454499,0.28792825314544984,0.1362152405636505
1.0,1.0,1.0,1.0,0.37649358067924693,1.0,0.28609373870260474,0.28609373870260446,0.2860937387026045,0.14171878389218612
1.0,1.0,1.0,1.0,0.41320124001153385,1.0,0.2840806713603172,0.28408067136031734,0.28408067136031734,0.1477579859190482
1.0,1.0,1.0,1.0,0.4534878508128584,1.0,0.2818674614397252,0.28186746143972513,0.2818674614397252,0.15439761568082433
1.0,1.0,1.0,1.0,0.49770235643321115,1.0,0.27942883787448297,0.279428837874483,0.27942883787448297,0.16171348637655097
1.0,1.0,1.0,1.0,0.5462277217684343,1.0,0.27673516184277797,0.2767351618427781,0.276735161842778,0.16979451447166574
1.0,1.0,1.0,1.0,0.5994842503189411,1.0,0.27375167923736116,0.27375167923736116,0.27375167923736116,0.17874496228791648
1.0,1.0,1.0,1.0,0.6579332246575682,1.0,0.27043775146759963,0.27043775146759974,0.27043775146759974,0.1886867455972009
