p,q,r,s,l,p00,p01,p10,p11
0.02,0.01,1.0,1.0,1.0,0.2524691208231221,0.24999393336407005,0.24999393336406997,0.24754301244873783
0.03,0.01,1.0,1.0,1.0,0.2549259900038423,0.24997597078047137,0.24997597078047132,0.2451220684352151
0.04,0.01,1.0,1.0,1.0,0.2573706127305169,0.24994646044021462,0.24994646044021465,0.24273646638905372
0.05,0.01,1.0,1.0,1.0,0.2598029974549905,0.2499057404090872,0.2499057404090872,0.2403855217268352
0.06,0.01,1.0,1.0,1.0,0.2622231557329225,0.2498541389530678,0.24985413895306782,0.23806856636094184
0.07,0.01,1.0,1.0,1.0,0.2646311020710054,0.24979197485207139,0.2497919748520714,0.23578494822485174
0.08,0.01,1.0,1.0,1.0,0.2670268537808201,0.24971955770243356,0.24971955770243356,0.23353403081431276
0.09,0.01,1.0,1.0,1.0,0.2694104308390022,0.24963718820861688,0.2496371882086168,0.23131519274376416
0.1,0.01,1.0,1.0,1.0,0.2717818557534648,0.24954515846454473,0.24954515846454461,0.2291278273174458
0.11,0.01,1.0,1.0,1.0,0.2741411534353859,0.2494437522249913,0.2494437522249913,0.2269713421146315
0.12,0.01,1.0,1.0,1.0,0.27648835107672626,0.24933324516740518,0.2493332451674051,0.2248451585884634
0.13,0.01,1.0,1.0,1.0,0.27882347803301566,0.24921390514455433,0.24921390514455435,0.2227487116778757
0.14,0.01,1.0,1.0,1.0,0.2811465657111952,0.24908599242833973,0.24908599242833987,0.22068144943212528
0.15,0.01,1.0,1.0,1.0,0.28345764746227714,0.24894975994513033,0.24894975994513036,0.21864283264746226
0.16,0.01,1.0,1.0,1.0,0.28575675847862547,0.24880545350294125,0.2488054535029413,0.21663233451549188
0.17,0.01,1.0,1.0,1.0,0.28804393569564857,0.2486533120107736,0.2486533120107736,0.21464944028280433
0.18,0.01,1.0,1.0,1.0,0.2903192176977128,0.24849356769041506,0.24849356769041506,0.21269364692145715
0.19,0.01,1.0,1.0,1.0,0.2925826446280991,0.24832644628099176,0.24832644628099182,0.21076446280991742
0.2,0.01,1.0,1.0,1.0,0.29483425810282315,0.2481521672365434,0.24815216723654343,0.2088614074240901
0.21,0.01,1.0,1.0,1.0,0.2970741011281553,0.2479709439168898,0.2479709439168898,0.20698401103806513
0.22,0.01,1.0,1.0,1.0,0.2993022180216775,0.24778298377204447,0.24778298377204444,0.20513181443423353
0.23,0.01,1.0,1.0,1.0,0.30151865433673475,0.2475884885204082,0.2475884885204082,0.203304368622449
