p,q,r,s,l,p00,p01,p10,p11
1.0,0.02,1.0,0.01,1.0,0.9803845806497228,0.009805768129204384,0.009805768129204384,3.883091868455768e-06
1.0,0.03,1.0,0.01,1.0,0.9801923404522429,0.009900903611450457,0.009900903611450457,5.852324856229566e-06
1.0,0.04,1.0,0.01,1.0,0.980000156800025,0.009996001599360252,0.009996001599360252,7.8400012544002e-06
1.0,0.05,1.0,0.01,1.0,0.9798080296708926,0.010091062109502677,0.010091062109502677,9.846110102084957e-06
1.0,0.06,1.0,0.01,1.0,0.9796159590426795,0.010186085158437901,0.010186085158437901,1.1870640444870119e-05
1.0,0.07,1.0,0.01,1.0,0.9794239448932304,0.010281070762717465,0.010281070762717465,1.3913581334806769e-05
1.0,0.08,1.0,0.01,1.0,0.979231987200401,0.010376018938884249,0.010376018938884249,1.597492183040655e-05
1.0,0.09,1.0,0.01,1.0,0.9790400859420583,0.010470929703472461,0.010470929703472461,1.8054650996637355e-05
1.0,0.1,1.0,0.01,1.0,0.9788482410960796,0.01056580307300768,0.01056580307300768,2.0152757904919294e-05
1.0,0.11,1.0,0.01,1.0,0.978656452640353,0.01066063906400683,0.01066063906400683,2.226923163312019e-05
1.0,0.12,1.0,0.01,1.0,0.9784647205527782,0.010755437692978185,0.010755437692978185,2.4404061265551645e-05
1.0,0.13,1.0,0.01,1.0,0.9782730448112643,0.010850198976421404,0.010850198976421404,2.6557235892964626e-05
1.0,0.14,1.0,0.01,1.0,0.9780814253937326,0.010944922930827517,0.010944922930827517,2.872874461254532e-05
1.0,0.15,1.0,0.01,1.0,0.9778898622781143,0.011039609572678907,0.011039609572678907,3.091857652791098e-05
1.0,0.16,1.0,0.01,1.0,0.9776983554423523,0.01113425891844938,0.01113425891844938,3.312672074910559e-05
1.0,0.17,1.0,0.01,1.0,0.9775069048643993,0.011228870984604084,0.011228870984604084,3.535316639259577e-05
1.0,0.18,1.0,0.01,1.0,0.9773155105222195,0.011323445787599595,0.011323445787599595,3.759790258126657e-05
1.0,0.19,1.0,0.01,1.0,0.977124172393788,0.011417983343883874,0.011417983343883874,3.9860918444417166e-05
1.0,0.2,1.0,0.01,1.0,0.9769328904570898,0.011512483669896293,0.011512483669896293,4.21422031177568e-05
1.0,0.21,1.0,0.01,1.0,0.9767416646901214,0.011606946782067607,0.011606946782067607,4.444174574340051e-05
1.0,0.22,1.0,0.01,1.0,0.9765504950708902,0.01170137269682002,0.01170137269682002,4.67595354698649e-05
1.0,0.23,1.0,0.01,1.0,0.9763593815774139,0.011795761430567129,0.011795761430567129,4.909556145206428e-05
1.0,0.24,1.0,0.01,1.0,0.9761683241877206,0.011890112999713962,0.011890112999713962,5.1449812851305764e-05
1.0,0.25,1.0,0.01,1.0,0.9759773228798506,0.01198442742065699,0.01198442742065699,5.382227883528587e-05
1.0,0.26,1.0,0.01,1.0,0.9757863776318538,0.0120787047097841,0.0120787047097841,5.621294857808601e-05
1.0,0.27,1.0,0.01,1.0,0.9755954884217906,0.012172944883474639,0.012172944883474639,5.8621811260168174e-05
1.0,0.28,1.0,0.01,1.0,0.975404655227733,0.01226714795809937,0.01226714795809937,6.104885606837109e-05
1.0,0.29,1.0,0.01,1.0,0.9752138780277629,0.012361313950020533,0.012361313950020533,6.349407219590564e-05
1.0,0.3,1.0,0.01,1.0,0.9750231567999742,0.012455442875591825,0.012455442875591825,6.595744884235123e-05
1.0,0.31,1.0,0.01,1.0,0.9748324915224696,0.012549534751158381,0.012549534751158381,6.843897521365106e-05
1.0,0.32,1.0,0.01,1.0,0.974641882173364,0.012643589593056814,0.012643589593056814,7.093864052210838e-05
1.0,0.33,1.0,0.01,1.0,0.9744513287307831,0.012737607417615229,0.012737607417615229,7.345643398638231e-05
1.0,0.34,1.0,0.01,1.0,0.9742608311728621,0.012831588241153173,0.012831588241153173,7.599234483148327e-05
1.0,0.35000000000000003,1.0,0.01,1.0,0.974070389477748,0.012925532079981688,0.012925532079981688,7.854636228876938e-05
1.0,0.36,1.0,0.01,1.0,0.9738800036235975,0.013019438950403313,0.013019438950403313,8.111847559594199e-05
1.0,0.37,1.0,0.01,1.0,0.9736896735885788,0.013113308868712065,0.013113308868712065,8.37086739970416e-05
1.0,0.38,1.0,0.01,1.0,0.9734993993508707,0.013207141851193475,0.013207141851193475,8.631694674244379e-05
1.0,0.39,1.0,0.01,1.0,0.9733091808886619,0.013300937914124566,0.01330093791412457,8.894328308885573e-05
1.0,0.4,1.0,0.01,1.0,0.9731190181801528,0.013394697073773868,0.013394697073773868,9.158767229930847e-05
1.0,0.41000000000000003,1.0,0.01,1.0,0.972928911203554,0.013488419346401423,0.013488419346401426,9.425010364315995e-05
1.0,0.42,1.0,0.01,1.0,0.9727388599370863,0.013582104748258807,0.013582104748258807,9.693056639608378e-05
1.0,0.43,1.0,0.01,1.0,0.9725488643589816,0.01367575329558909,0.013675753295589094,9.962904984006865e-05
1.0,0.44,1.0,0.01,1.0,0.9723589244474828,0.013769365004626902,0.013769365004626902,0.00010234554326341347
1.0,0.45,1.0,0.01,1.0,0.9721690401808423,0.013862939891598383,0.01386293989159838,0.00010508003596072342
1.0,0.46,1.0,0.01,1.0,0.9719792115373245,0.013956477972721228,0.013956477972721228,0.00010783251723290561
1.0,0.47000000000000003,1.0,0.01,1.0,0.9717894384952035,0.014049979264204671,0.014049979264204673,0.00011060297638716494
1.0,0.48,1.0,0.01,1.0,0.9715997210327639,0.01414344378224949,0.01414344378224949,0.00011339140273700022
1.0,0.49,1.0,0.01,1.0,0.9714100591283017,0.014236871543048028,0.014236871543048028,0.0001161977856022001
1.0,0.5,1.0,0.01,1.0,0.9712204527601228,0.014330262562784158,0.014330262562784158,0.00011902211430883848
1.0,0.51,1.0,0.01,1.0,0.9710309019065438,0.014423616857633376,0.014423616857633376,0.00012186437818927121
1.0,0.52,1.0,0.01,1.0,0.9708414065458926,0.014516934443762687,0.014516934443762687,0.00012472456658213098
1.0,0.53,1.0,0.01,1.0,0.9706519666565061,0.014610215337330722,0.014610215337330722,0.00012760266883232442
1.0,0.54,1.0,0.01,1.0,0.9704625822167335,0.01470345955448765,0.01470345955448765,0.00013049867429102663
1.0,0.55,1.0,0.01,1.0,0.9702732532049337,0.014796667111375244,0.014796667111375244,0.00013341257231567843
1.0,0.56,1.0,0.01,1.0,0.9700839795994763,0.014889838024126866,0.014889838024126863,0.00013634435226998125
1.0,0.5700000000000001,1.0,0.01,1.0,0.9698947613787412,0.01498297230886748,0.01498297230886748,0.000139294003523894
1.0,0.58,1.0,0.01,1.0,0.9697055985211193,0.015076069981713626,0.01507606998171363,0.00014226151545362756
1.0,0.59,1.0,0.01,1.0,0.9695164910050114,0.0151691310587735,0.0151691310587735,0.00014524687744164294
1.0,0.6,1.0,0.01,1.0,0.9693274388088297,0.015262155556146855,0.015262155556146855,0.00014825007887664445
1.0,0.61,1.0,0.01,1.0,0.9691384419109962,0.015355143489925099,0.015355143489925099,0.00015127110915357818
1.0,0.62,1.0,0.01,1.0,0.9689495002899439,0.015448094876191238,0.015448094876191238,0.0001543099576736258
1.0,0.63,1.0,0.01,1.0,0.9687606139241159,0.015541009731019916,0.015541009731019916,0.0001573666138442027
1.0,0.64,1.0,0.01,1.0,0.9685717827919664,0.015633888070477383,0.015633888070477383,0.00016044106707895151
1.0,0.65,1.0,0.01,1.0,0.9683830068719592,0.01572672991062156,0.01572672991062156,0.00016353330679774007
1.0,0.66,1.0,0.01,1.0,0.9681942861425694,0.015819535267502023,0.015819535267502023,0.00016664332242665643
1.0,0.67,1.0,0.01,1.0,0.9680056205822822,0.01591230415715993,0.01591230415715993,0.00016977110339800447
1.0,0.68,1.0,0.01,1.0,0.9678170101695933,0.01600503659562814,0.01600503659562814,0.00017291663915030078
1.0,0.6900000000000001,1.0,0.01,1.0,0.9676284548830092,0.016097732598931158,0.016097732598931158,0.00017607991912826993
1.0,0.7000000000000001,1.0,0.01,1.0,0.9674399547010468,0.016190392183085173,0.016190392183085173,0.00017926093278284116
1.0,0.71,1.0,0.01,1.0,0.9672515096022328,0.016283015364097982,0.016283015364097982,0.00018245966957114286
1.0,0.72,1.0,0.01,1.0,0.9670631195651053,0.016375602157969103,0.016375602157969103,0.0001856761189565
1.0,0.73,1.0,0.01,1.0,0.9668747845682122,0.01646815258068975,0.01646815258068975,0.00018891027040843043
1.0,0.74,1.0,0.01,1.0,0.9666865045901117,0.01656066664824276,0.01656066664824276,0.0001921621134026384
1.0,0.75,1.0,0.01,1.0,0.9664982796093736,0.016653144376602695,0.016653144376602695,0.00019543163742101314
1.0,0.76,1.0,0.01,1.0,0.9663101096045769,0.01674558578173577,0.01674558578173577,0.00019871883195162333
1.0,0.77,1.0,0.01,1.0,0.9661219945543111,0.0168379908796,0.0168379908796,0.00020202368648871476
1.0,0.78,1.0,0.01,1.0,0.9659339344371775,0.016930359686144952,0.01693035968614496,0.00020534619053270108
1.0,0.79,1.0,0.01,1.0,0.9657459292317859,0.01702269221731203,0.017022692217312035,0.0002086863335901744
1.0,0.8,1.0,0.01,1.0,0.9655579789167577,0.017114988489034297,0.017114988489034297,0.00021204410517387625
1.0,0.81,1.0,0.01,1.0,0.9653700834707243,0.01720724851723651,0.017207248517236515,0.00021541949480271728
1.0,0.8200000000000001,1.0,0.01,1.0,0.9651822428723278,0.017299472317835192,0.0172994723178352,0.0002188124920017619
1.0,0.8300000000000001,1.0,0.01,1.0,0.9649944571002205,0.017391659906738563,0.01739165990673857,0.00022222308630222618
1.0,0.84,1.0,0.01,1.0,0.9648067261330653,0.017483811299846636,0.01748381129984664,0.0002256512672414744
1.0,0.85,1.0,0.01,1.0,0.9646190499495347,0.01757592651305107,0.017575926513051073,0.0002290970243630144
1.0,0.86,1.0,0.01,1.0,0.964431428528313,0.017668005562235353,0.017668005562235346,0.00023256034721649385
1.0,0.87,1.0,0.01,1.0,0.964243861848093,0.01776004846327462,0.017760048463274627,0.00023604122535769687
1.0,0.88,1.0,0.01,1.0,0.9640563498875796,0.017852055232035882,0.01785205523203589,0.0002395396483485373
1.0,0.89,1.0,0.01,1.0,0.9638688926254873,0.01794402588437781,0.017944025884377816,0.00024305560575706029
1.0,0.9,1.0,0.01,1.0,0.9636814900405407,0.018035960436150897,0.018035960436150904,0.00024658908715743266
1.0,0.91,1.0,0.01,1.0,0.9634941421114754,0.01812785890319738,0.018127858903197385,0.000250140082129941
1.0,0.92,1.0,0.01,1.0,0.9633068488170365,0.018219721301351254,0.018219721301351247,0.00025370858026098906
1.0,0.93,1.0,0.01,1.0,0.9631196101359805,0.0183115476464383,0.0183115476464383,0.0002572945711430913
1.0,0.9400000000000001,1.0,0.01,1.0,0.9629324260470731,0.01840333795427611,0.01840333795427611,0.0002608980443748714
1.0,0.9500000000000001,1.0,0.01,1.0,0.9627452965290909,0.018495092240674065,0.018495092240674072,0.0002645189895610568
1.0,0.96,1.0,0.01,1.0,0.9625582215608207,0.01858681052143328,0.018586810521433274,0.0002681573963124734
1.0,0.97,1.0,0.01,1.0,0.9623712011210604,0.018678492812346705,0.018678492812346705,0.0002718132542460455
1.0,0.98,1.0,0.01,1.0,0.9621842351886171,0.0187701391291991,0.018770139129199108,0.00027548655298478765
1.0,0.99,1.0,0.01,1.0,0.9619973237423081,0.01886174948776707,0.018861749487767077,0.0002791772821578046
1.0,1.0,1.0,0.01,1.0,0.9618104667609618,0.018953323903818948,0.01895332390381894,0.0002828854314002827
1.0,0.01,1.0,0.02,1.0,0.9625921510754322,0.01870020367339233,0.018700203673392337,7.44157778331392e-06
1.0,0.02,1.0,0.02,1.0,0.9622215534371219,0.018881747560139207,0.018881747560139214,1.495144259956144e-05
1.0,0.03,1.0,0.02,1.0,0.9618511698829305,0.019063150301564396,0.0190631503015644,2.2529513940719427e-05
1.0,0.04,1.0,0.02,1.0,0.9614810002479143,0.01924441202034671,0.019244412020346713,3.0175711392396087e-05
