p,q,r,s,l,d,p00,p01,p10,p11
1.0,1.0,0.01,1.0,0.012022644346174132,1.0,0.01429753114436303,0.48708001959279523,0.4870800195928007,0.01154242967004098
1.0,1.0,0.01,1.0,0.013182567385564075,1.0,0.014265610940135311,0.4865441475683639,0.48654414756836367,0.01264609392313705
1.0,1.0,0.01,1.0,0.014454397707459272,1.0,0.01423069174974843,0.4859564915149704,0.4859564915149658,0.013856325220315442
1.0,1.0,0.01,1.0,0.015848931924611134,1.0,0.014192491010770624,0.48531172482494617,0.48531172482494606,0.01518405933933707
1.0,1.0,0.01,1.0,0.017378008287493755,1.0,0.014150697490409633,0.4846038467858801,0.48460384678587587,0.016641608937834333
1.0,1.0,0.01,1.0,0.019054607179632473,1.0,0.01410496745846749,0.4838260582418224,0.48382605824181807,0.018242916057891988
1.0,1.0,0.01,1.0,0.020892961308540396,1.0,0.014054920075707156,0.4829706059266787,0.4829706059266786,0.020003868070935668
1.0,1.0,0.01,1.0,0.022908676527677724,1.0,0.01400013179367754,0.4820285867406956,0.48202858674069543,0.021942694724931364
1.0,1.0,0.01,1.0,0.025118864315095794,1.0,0.013940129510627904,0.4809897009148867,0.48098970091488297,0.02408046865960238
1.0,1.0,0.01,1.0,0.02754228703338166,1.0,0.01387438216720921,0.4798419401647258,0.4798419401647257,0.02644173750333923
1.0,1.0,0.01,1.0,0.03019951720402016,1.0,0.013802290395422087,0.4785711935209294,0.4785711935209237,0.02905532256272484
1.0,1.0,0.01,1.0,0.03311311214825911,1.0,0.013723173756651193,0.4771607495283987,0.4771607495284014,0.0319553271865488
1.0,1.0,0.01,1.0,0.03630780547701014,1.0,0.013636255024637759,0.4755906689918027,0.4755906689918025,0.03518240699175702
1.0,1.0,0.01,1.0,0.039810717055349734,1.0,0.01354064089651591,0.4738369976319955,0.47383699763199544,0.038785363839493284
1.0,1.0,0.01,1.0,0.04365158322401661,1.0,0.01343529846734744,0.4718707833735812,0.47187078337358107,0.04282313478549036
1.0,1.0,0.01,1.0,0.04786300923226385,1.0,0.013319026810844558,0.4696568594055138,0.4696568594055136,0.047367254378128
1.0,1.0,0.01,1.0,0.05248074602497726,1.0,0.013190423119737555,0.46715235322146004,0.467152353221462,0.05250487043734059
1.0,1.0,0.01,1.0,0.057543993733715694,1.0,0.01304784314951599,0.46430488618150917,0.46430488618150895,0.05834238448746589
1.0,1.0,0.01,1.0,0.06309573444801933,1.0,0.012889356293017287,0.46105044192726585,0.46105044192726574,0.0650097598524511
1.0,1.0,0.01,1.0,0.06918309709189363,1.0,0.012712696654692771,0.45731091160671233,0.45731091160671217,0.07266548013188284
1.0,1.0,0.01,1.0,0.07585775750291836,1.0,0.012515213215578547,0.45299137856462046,0.45299137856462035,0.0815020296551806
1.0,1.0,0.01,1.0,0.08317637711026708,1.0,0.012293824862278702,0.44797729745913906,0.4479772974591378,0.09175158021944453
1.0,1.0,0.01,1.0,0.09120108393559097,1.0,0.012044989997382823,0.4421318680370445,0.44213186803704346,0.10369127392852932
1.0,1.0,0.01,1.0,0.1,1.0,0.011764705882352719,0.43529411764705894,0.4352941176470588,0.11764705882352954
1.0,1.0,0.01,1.0,0.1096478196143185,1.0,0.011448559731504077,0.4272784980367574,0.4272784980367561,0.13399444419498227
1.0,1.0,0.01,1.0,0.12022644346174131,1.0,0.011091861158456385,0.417877159616453,0.417877159616453,0.1531538196086377
1.0,1.0,0.01,1.0,0.13182567385564073,1.0,0.010689891912765054,0.4068664345579118,0.40686643455791155,0.17557723897141153
1.0,1.0,0.01,1.0,0.1445439770745927,1.0,0.010238310043157534,0.3940193065249928,0.3940193065249925,0.20172307690685723
1.0,1.0,0.01,1.0,0.15848931924611134,1.0,0.009733735459024945,0.3791255306745908,0.3791255306745905,0.2320152031917937
