p,q,r,s,l,p00,p01,p10,p11
1.0,1.0,0.02,0.01,1.0,0.4415252770083095,0.22294840720221754,0.22294840720221393,0.1125779085872589
1.0,1.0,0.03,0.01,1.0,0.5569717780096562,0.1893336407095543,0.18933364070955463,0.06436094057123475
1.0,1.0,0.04,0.01,1.0,0.6324632649265314,0.16281232562465067,0.16281232562465056,0.04191208382416745
1.0,1.0,0.05,0.01,1.0,0.6853668368718101,0.14250201558720693,0.1425020155872073,0.029629131953775704
1.0,1.0,0.06,0.01,1.0,0.7244113748264115,0.1267122206792067,0.12671222067920707,0.02216418381517476
1.0,1.0,0.07,0.01,1.0,0.7543797427089808,0.11417062584138761,0.11417062584138771,0.017279005608243966
1.0,1.0,0.08,0.01,1.0,0.7780934764783284,0.10400259339066725,0.10400259339066747,0.01390133674033671
1.0,1.0,0.09,0.01,1.0,0.7973191781720772,0.09560813027585989,0.09560813027585985,0.011464561276203248
1.0,1.0,0.1,0.01,1.0,0.8132174744897962,0.08856823979591825,0.08856823979591825,0.009646045918367346
1.0,1.0,0.11,0.01,1.0,0.8265815477832754,0.08258375499904888,0.082583754999049,0.008250942218626848
1.0,1.0,0.12,0.01,1.0,0.8379715409680454,0.07743631401684901,0.07743631401684904,0.007155830998256686
1.0,1.0,0.13,0.01,1.0,0.8477941219861949,0.07296324126766213,0.07296324126766196,0.006279395478481197
1.0,1.0,0.14,0.01,1.0,0.8563515939804284,0.06904107617663964,0.06904107617663982,0.005566253666292049
1.0,1.0,0.15,0.01,1.0,0.8638733110015427,0.06557454175919329,0.06557454175919332,0.004977605480070787
1.0,1.0,0.16,0.01,1.0,0.8705364048024152,0.06248899935462882,0.06248899935462882,0.004485596488327315
1.0,1.0,0.17,0.01,1.0,0.8764798326532992,0.05972518370438892,0.05972518370438907,0.004069799937922854
1.0,1.0,0.18,0.01,1.0,0.8818141264257905,0.057235460351068995,0.05723546035106895,0.0037149528720715644
1.0,1.0,0.19,0.01,1.0,0.8866283017178035,0.05498111928317796,0.05498111928317788,0.003409459715840637
1.0,1.0,0.2,0.01,1.0,0.8909948467115031,0.052930386933356645,0.052930386933356624,0.0031443794217835617
1.0,1.0,0.21,0.01,1.0,0.8949733853980573,0.05105694466438707,0.05105694466438702,0.002912725273168716
1.0,1.0,0.22,0.01,1.0,0.898613408426423,0.04933881000361098,0.04933881000361102,0.002708971566354873
1.0,1.0,0.23,0.01,1.0,0.9019563370102471,0.0477574814689025,0.047757481468902435,0.0025287000519479156
1.0,1.0,0.24,0.01,1.0,0.9050371023907691,0.04629727751503925,0.046297277515039335,0.0023683425791521783
1.0,1.0,0.25,0.01,1.0,0.9078853684585257,0.04494482022071918,0.044944820220719175,0.0022249911000356004
1.0,1.0,0.26,0.01,1.0,0.9105264881354787,0.043688628143591056,0.04368862814359107,0.0020962555773390984
1.0,1.0,0.27,0.01,1.0,0.9129822587607405,0.042518792395531364,0.04251879239553137,0.0019801564481967313
1.0,1.0,0.28,0.01,1.0,0.9152715240761663,0.041426716789868895,0.041426716789868895,0.0018750423440959077
1.0,1.0,0.29,0.01,1.0,0.9174106579532139,0.04040490777602077,0.04040490777602075,0.0017795264947445138
1.0,1.0,0.3,0.01,1.0,0.919413956096779,0.0394468033968916,0.03944680339689158,0.0016924371094375935
1.0,1.0,0.31,0.01,1.0,0.9212939555162263,0.038546633079727145,0.03854663307972715,0.0016127783243194693
1.0,1.0,0.32,0.01,1.0,0.9230616968361938,0.037699301974745504,0.03769930197474555,0.001539699214315103
1.0,1.0,0.33,0.01,1.0,0.924726941030317,0.036900294976607344,0.036900294976607344,0.0014724690164682815
1.0,1.0,0.34,0.01,1.0,0.9262983495545857,0.03614559663375497,0.036145596633754995,0.0014104571779042436
