p,q,r,s,l,p00,p01,p10,p11
1.0,1.0,1.0,0.010101010101010102,1.0,0.9614423076923077,0.0191346153846154,0.019134615384615406,0.0002884615384615389
1.0,1.0,1.0,0.020202020202020204,1.0,0.926242165500954,0.03633390862021981,0.03633390862021982,0.0010900172586065903
1.0,1.0,1.0,0.030303030303030304,1.0,0.8939628482972135,0.051857585139318825,0.05185758513931886,0.0023219814241485933
1.0,1.0,1.0,0.04040404040404041,1.0,0.8642408419678553,0.06592151423676258,0.06592151423676261,0.003916129558619561
1.0,1.0,1.0,0.05050505050505051,1.0,0.8367710918114144,0.0787065756823822,0.07870657568238217,0.005815756823821345
1.0,1.0,1.0,0.06060606060606061,1.0,0.811295681063123,0.09036544850498342,0.09036544850498338,0.007973421926910296
1.0,1.0,1.0,0.07070707070707072,1.0,0.7875950436496759,0.10102787947057172,0.10102787947057172,0.01034919740918052
1.0,1.0,1.0,0.08080808080808081,1.0,0.7654810730854569,0.11080481409265111,0.11080481409265111,0.0129092987292409
1.0,1.0,1.0,0.09090909090909091,1.0,0.7447916666666664,0.11979166666666675,0.11979166666666674,0.015624999999999991
1.0,1.0,1.0,0.10101010101010102,1.0,0.725386367834493,0.12807093159288221,0.12807093159288221,0.018471768979742648
1.0,1.0,1.0,0.11111111111111112,1.0,0.7071428571428572,0.1357142857142857,0.1357142857142857,0.021428571428571443
1.0,1.0,1.0,0.12121212121212122,1.0,0.6899541050484448,0.14278429372768983,0.1427842937276899,0.024477307496175424
1.0,1.0,1.0,0.13131313131313133,1.0,0.6737260452961672,0.14933580139372826,0.1493358013937282,0.0276023519163763
1.0,1.0,1.0,0.14141414141414144,1.0,0.6583756610986019,0.15541708121694503,0.15541708121694509,0.03079017646750798
1.0,1.0,1.0,0.15151515151515152,1.0,0.6438294010889293,0.16107078039927405,0.16107078039927405,0.034029038112522704
1.0,1.0,1.0,0.16161616161616163,1.0,0.6300218605780907,0.1663347097401021,0.166334709740102,0.03730871994170515
1.0,1.0,1.0,0.17171717171717174,1.0,0.6168946776611695,0.17124250374812597,0.17124250374812597,0.04062031484257872
1.0,1.0,1.0,0.18181818181818182,1.0,0.6043956043956044,0.17582417582417584,0.17582417582417584,0.043956043956043966
1.0,1.0,1.0,0.19191919191919193,1.0,0.5924777214747509,0.18010658745413252,0.1801065874541325,0.04730910361698408
1.0,1.0,1.0,0.20202020202020204,1.0,0.581098771166758,0.18411384654364263,0.18411384654364266,0.0506735357459567
1.0,1.0,1.0,0.21212121212121213,1.0,0.5702205882352943,0.18786764705882347,0.18786764705882347,0.054044117647058805
1.0,1.0,1.0,0.22222222222222224,1.0,0.5598086124401914,0.1913875598086124,0.1913875598086124,0.0574162679425837
1.0,1.0,1.0,0.23232323232323235,1.0,0.5498314692814463,0.19469128236555847,0.19469128236555847,0.06078596598743679
1.0,1.0,1.0,0.24242424242424243,1.0,0.5402606080855328,0.19779485466087546,0.19779485466087532,0.06414968259271636
1.0,1.0,1.0,0.25252525252525254,1.0,0.5310699884792627,0.2007128456221198,0.20071284562211983,0.0675043202764977
1.0,1.0,1.0,0.26262626262626265,1.0,0.5222358078602621,0.20345851528384273,0.20345851528384273,0.0708471615720524
1.0,1.0,1.0,0.27272727272727276,1.0,0.5137362637362637,0.20604395604395603,0.20604395604395603,0.0741758241758242
1.0,1.0,1.0,0.2828282828282829,1.0,0.5055513458307253,0.20848021612361217,0.20848021612361217,0.07748822192205053
1.0,1.0,1.0,0.29292929292929293,1.0,0.4976626536885245,0.21077740778688533,0.21077740778688525,0.08078253073770487
1.0,1.0,1.0,0.30303030303030304,1.0,0.4900532362006163,0.21294480246567674,0.2129448024656767,0.08405715886803027
1.0,1.0,1.0,0.31313131313131315,1.0,0.4827074500302846,0.2149909145972138,0.21499091459721387,0.0873107207752877
1.0,1.0,1.0,0.32323232323232326,1.0,0.47561083438946045,0.21692357570220158,0.21692357570220155,0.09054201420613638
1.0,1.0,1.0,0.33333333333333337,1.0,0.46875,0.21875,0.21875000000000006,0.09375000000000006
1.0,1.0,1.0,0.3434343434343435,1.0,0.4621125303966234,0.22047684266428155,0.22047684266428155,0.09693378427481343
1.0,1.0,1.0,0.3535353535353536,1.0,0.45568689399716766,0.22211025166140094,0.22211025166140091,0.10009260268003044
1.0,1.0,1.0,0.36363636363636365,1.0,0.44946236559139796,0.22365591397849446,0.2236559139784946,0.10322580645161297
1.0,1.0,1.0,0.37373737373737376,1.0,0.44342895608947797,0.22511909693454846,0.22511909693454848,0.10633285004142504
1.0,1.0,1.0,0.38383838383838387,1.0,0.4375773495314829,0.2265046851716212,0.22650468517162115,0.1094132801252747
1.0,1.0,1.0,0.393939393939394,1.0,0.4318988464951198,0.2278172138420585,0.22781721384205858,0.11246672582076313
1.0,1.0,1.0,0.4040404040404041,1.0,0.4263853131541589,0.2290608984384399,0.22906089843843994,0.11549288996896133
1.0,1.0,1.0,0.4141414141414142,1.0,0.4210291353383458,0.23023966165413534,0.23023966165413534,0.11849154135338348
1.0,1.0,1.0,0.42424242424242425,1.0,0.4158231770295392,0.23135715761206363,0.23135715761206369,0.12146250774633346
1.0,1.0,1.0,0.43434343434343436,1.0,0.41076074280075353,0.23241679375616758,0.23241679375616758,0.12440566968691126
1.0,1.0,1.0,0.4444444444444445,1.0,0.4058355437665783,0.2334217506631299,0.23342175066312998,0.1273209549071618
1.0,1.0,1.0,0.4545454545454546,1.0,0.4010416666666668,0.2343749999999999,0.23437499999999992,0.13020833333333334
1.0,1.0,1.0,0.4646464646464647,1.0,0.3963735457499215,0.23527932082590924,0.23527932082590924,0.1330678125982601
1.0,1.0,1.0,0.4747474747474748,1.0,0.39182593716676245,0.2361373144122713,0.2361373144122713,0.13589943400869492
